 , , , Trace File 
, History Time Limit ,1
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.00,31042,27893,3150,1,249,1,249,1,249,
0.01,31042,27893,3150,1,249,1,249,1,249,
0.02,31042,27893,3150,1,249,1,249,1,249,
0.03,36443,33174,3279,1,249,1,249,1,249,
0.04,36984,33684,3314,1,249,1,249,1,249,
0.05,30583,27165,3429,1,249,1,249,1,249,
0.06,28888,25501,3388,1,249,1,249,1,249,
0.07,36404,32257,4148,1,249,1,249,1,249,
0.08,36396,31738,4668,1,249,1,249,1,249,
0.09,37318,30753,6580,1,249,1,249,1,249,
0.10,36651,29480,7171,1,249,1,249,1,249,
0.11,36507,26550,9958,1,249,1,249,1,249,
0.12,36749,23795,12955,1,249,1,249,1,249,
0.13,36816,19493,17321,1,249,1,249,1,249,
0.14,35988,17144,18842,1,249,1,249,1,249,
0.15,35942,14713,21227,1,249,1,249,1,249,
0.16,35894,13410,22482,1,249,1,249,1,249,
0.17,35939,12387,23553,1,249,1,249,1,249,
0.18,35410,11023,24385,1,249,1,249,1,249,
0.19,35854,9907,25946,1,249,1,249,1,249,
0.20,35674,9045,26630,1,249,1,249,1,249,
0.21,34904,7721,27181,1,249,1,249,1,249,
0.22,36301,6660,29639,1,249,1,249,1,249,
0.23,36290,5530,30758,1,249,1,249,1,249,
0.24,36931,4986,31944,1,249,1,249,1,249,
0.25,36319,3759,32558,1,249,1,249,1,249,
0.26,36475,3277,33197,1,249,1,249,1,249,
0.27,36771,2704,34065,1,249,1,249,1,249,
0.28,36942,2652,34291,1,249,1,249,1,249,
0.29,38154,2350,35803,1,249,1,249,1,249,
0.30,37322,2065,35255,1,249,1,249,1,249,
0.31,39236,2145,37089,1,249,1,249,1,249,
0.32,38314,1942,36370,1,249,1,249,1,249,
0.33,37877,1849,36029,1,249,1,249,1,249,
0.34,39342,2062,37272,3,247,3,247,3,247,
0.35,39479,2126,37344,4,246,4,246,4,246,
0.36,38978,1627,37347,2,248,2,248,2,248,
0.37,41430,2735,38643,10,240,10,240,2,248,
0.38,42440,2833,39548,11,239,11,239,3,247,
0.39,41864,2468,39365,11,239,10,240,3,247,
0.40,42164,2376,39758,11,239,11,239,3,247,
0.41,42115,2280,39789,11,239,11,239,7,243,
0.42,42755,1878,40840,10,240,10,240,10,240,
0.43,42204,1455,40713,8,242,9,241,9,241,
0.44,41695,1594,40063,10,240,10,240,10,240,
0.45,41388,1130,40221,9,241,9,241,9,241,
0.46,41968,1375,40550,10,240,10,240,10,240,
0.47,41898,1347,40506,9,241,10,240,10,240,
0.48,42197,1078,41077,9,241,9,241,9,241,
0.49,41825,1282,40499,10,240,10,240,10,240,
0.50,42594,1178,41369,10,240,11,239,11,239,
0.51,42594,1178,41369,10,240,11,239,11,239,
0.52,42732,979,41713,10,240,9,241,9,241,
0.53,41538,736,40754,10,240,10,240,9,241,
0.54,42455,553,41884,9,241,10,240,10,240,
0.55,42357,469,41869,9,241,9,241,10,240,
0.56,42464,591,41845,9,241,10,240,10,240,
0.57,42359,629,41712,10,240,10,240,9,241,
0.58,42503,315,42163,9,241,10,240,9,241,
0.59,42927,46,42860,10,240,9,241,10,240,
0.60,41976,20,41932,10,240,9,241,9,241,
