 , , , Trace File 
, History Time Limit ,1
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,7069,5712,1357,0,0,0,0,0,0,
0.1,7069,5712,1357,0,0,0,0,0,0,
0.2,7069,5712,1357,0,0,0,0,0,0,
0.3,34113,34113,11212,121,129,122,128,121,129,
0.4,62200,16651,45147,176,74,176,74,177,73,
0.5,63603,3707,59587,178,72,179,71,179,71,
, History Time Limit ,2
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,7069,5712,1357,0,0,0,0,0,0,
0.1,7069,5712,1357,0,0,0,0,0,0,
0.2,7069,5712,1357,0,0,0,0,0,0,
0.3,29305,29305,14710,118,132,118,132,116,134,
0.4,8885,8885,53516,178,72,178,72,176,74,
0.5,3716,3716,59189,178,72,178,72,177,73,
, History Time Limit ,3
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,7069,5712,1357,0,0,0,0,0,0,
0.1,7069,5712,1357,0,0,0,0,0,0,
0.2,7069,5712,1357,0,0,0,0,0,0,
0.3,26785,26785,18006,121,129,121,129,121,129,
0.4,8162,8162,54086,177,73,176,74,177,73,
0.5,63449,3347,59779,178,72,178,72,178,72,
, History Time Limit ,4
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,7069,5712,1357,0,0,0,0,0,0,
0.1,7069,5712,1357,0,0,0,0,0,0,
0.2,7069,5712,1357,0,0,0,0,0,0,
0.3,25962,25962,18285,121,129,121,129,121,129,
0.4,62616,8232,54103,177,73,176,74,176,74,
0.5,63181,3235,59634,177,73,177,73,178,72,
, History Time Limit ,5
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,7069,5712,1357,0,0,0,0,0,0,
0.1,7069,5712,1357,0,0,0,0,0,0,
0.2,7069,5712,1357,0,0,0,0,0,0,
0.3,44386,25594,18350,118,132,118,132,118,132,
0.4,62805,7699,54798,177,73,177,73,178,72,
0.5,63320,3260,59764,178,72,178,72,177,73,
, History Time Limit ,6
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,7069,5712,1357,0,0,0,0,0,0,
0.1,7069,5712,1357,0,0,0,0,0,0,
0.2,11573,9886,1665,5,245,5,245,5,245,
0.3,26513,26513,18407,120,130,120,130,120,130,
0.4,62883,8129,54439,177,73,177,73,176,74,
0.5,63293,2936,60072,178,72,178,72,177,73,
, History Time Limit ,7
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,7069,5712,1357,0,0,0,0,0,0,
0.1,7069,5712,1357,0,0,0,0,0,0,
0.2,11585,9823,1730,5,245,5,245,7,243,
0.3,27131,27131,18179,122,128,121,129,121,129,
0.4,7269,7269,54948,176,74,177,73,176,74,
0.5,63150,2614,60205,178,72,178,72,177,73,
, History Time Limit ,8
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,7069,5712,1357,0,0,0,0,0,0,
0.1,7069,5712,1357,0,0,0,0,0,0,
0.2,64413,13716,44166,177,73,178,72,177,73,
0.3,63195,5604,57238,177,73,177,73,177,73,
0.4,62776,,,178,72,178,72,176,74,
0.5,2560,,,66,150,65,115,65,151,
, History Time Limit ,9
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,53667,,,1,1,5,245,7,243,
0.1,62753,7798,54580,176,74,177,73,176,74,
0.2,62753,7798,54580,176,74,177,73,176,74,
0.3,62753,7798,54580,176,74,177,73,176,74,
0.4,45366,46409,5975,176,74,0,1,176,74,
0.5,7069,,,0,0,0,0,0,0,
, History Time Limit ,10
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,7069,5712,1357,0,0,0,0,0,0,
0.1,7069,5712,1357,0,0,0,0,0,0,
0.2,12976,5712,14748,40,140,41,139,41,139,
0.3,61733,4,61192,178,72,178,72,177,73,
0.4,8885,8885,53516,178,72,179,71,177,73,
0.5,64160,,,178,72,178,72,177,73,
