 , , , Trace File ,,,,
, History Time Limit ,1,,,,,
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,Ratio
0,8712,7356,1354,1,1,1,0.000344353
0.01,8712,7356,1354,1,1,1,0.000344353
0.02,8712,7356,1354,1,1,1,0.000344353
0.03,8712,7356,1354,1,1,1,0.000344353
0.04,8712,7356,1354,1,1,1,0.000344353
0.05,8712,7356,1354,1,1,1,0.000344353
0.06,14821,14821,1635,24,25,25,0.004992915
0.07,25136,25136,1774,61,61,62,0.007320178
0.08,22018,20148,1722,44,45,44,0.006040512
0.09,26232,24241,1816,59,59,59,0.006747484
0.1,56716,53792,2326,157,153,174,0.008533747
0.11,50436,50436,2460,150,150,149,0.008902371
0.12,54681,54681,2519,163,163,167,0.009015929
0.13,55138,55138,2611,164,163,164,0.008904929
0.14,54188,54188,2638,160,159,160,0.008839595
0.15,61007,57470,2913,173,173,173,0.00850722
0.16,55246,55246,3236,165,166,166,0.008996126
0.17,56741,56741,3464,167,168,168,0.008864842
0.18,59484,59484,3551,178,178,180,0.009010826
0.19,59063,54931,3662,165,164,166,0.008380881
0.2,56877,56877,4046,173,172,173,0.009107372
0.21,47918,47918,4473,184,4,184,0.007763262
0.22,46848,46848,4757,184,5,184,0.007961919
0.23,54328,54328,4996,169,171,170,0.009387425
0.24,55652,55652,5900,179,180,180,0.009685187
0.25,54825,54825,6510,178,179,179,0.009776562
0.26,54754,54754,7644,181,183,183,0.009990138
0.27,47973,47973,8075,92,179,179,0.009380276
0.28,41701,41701,10819,1,186,185,0.008920649
0.29,41192,41192,11719,99,98,178,0.009103709
0.3,46468,46468,15265,179,179,179,0.01155634
0.31,42400,42400,20269,182,182,183,0.012900943
0.32,39462,39462,22020,179,179,179,0.013608028
0.33,35515,35515,25238,177,177,177,0.014951429
0.34,29525,29525,29197,164,164,164,0.016663844
0.35,27882,27882,31739,172,172,172,0.018506563
0.36,59383,23776,35148,171,171,170,0.008621996
0.37,22503,22503,37773,176,176,177,0.023507977
0.38,21585,21585,38790,178,178,177,0.024693074
0.39,19703,19703,40385,174,178,178,0.026899457
0.4,60265,16247,43549,175,176,178,0.008777898
, History Time Limit ,2,,,,,#VALUE!
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,#VALUE!
0,8712,7356,1354,1,1,1,0.000344353
0.01,8712,7356,1354,1,1,1,0.000344353
0.02,8712,7356,1354,1,1,1,0.000344353
0.03,8712,7356,1354,1,1,1,0.000344353
0.04,8712,7356,1354,1,1,1,0.000344353
0.05,8712,7356,1354,1,1,1,0.000344353
0.06,8712,7356,1354,1,1,1,0.000344353
0.07,8712,7356,1354,1,1,1,0.000344353
0.08,8396,8396,1361,1,1,1,0.000357313
0.09,26712,26712,1869,66,67,67,0.007487272
0.1,30494,30494,2109,80,81,80,0.007903194
0.11,27959,27959,2092,73,72,73,0.007797132
0.12,28643,28643,2409,77,76,77,0.008029885
0.13,50373,50373,3278,152,151,156,0.009112024
0.14,50959,50959,3776,155,155,156,0.009144606
0.15,57348,52636,4172,162,161,163,0.008474576
0.16,53049,53049,4617,164,165,165,0.009312145
0.17,45493,45493,5176,97,97,98,0.00641857
0.18,32833,32833,5438,1,1,88,0.002741145
0.19,42803,42803,5762,92,92,92,0.006448146
0.2,48353,48353,6144,110,110,110,0.006824809
0.21,46211,46211,6330,104,103,103,0.006708359
0.22,44559,44559,6508,101,101,102,0.006822415
0.23,46071,46071,6672,107,108,108,0.007010918
0.24,34991,34991,7037,12,12,102,0.003600926
0.25,42010,42010,7345,97,97,97,0.006926922
0.26,39492,39492,8906,93,94,94,0.007115365
0.27,37198,37198,11430,87,92,91,0.007258455
0.28,36433,36433,13421,107,107,107,0.008810694
0.29,32521,32521,17506,99,99,99,0.00913256
0.3,35444,35444,22960,156,155,155,0.0131475
0.31,30594,30594,25912,145,147,147,0.014349219
0.32,57452,29493,27505,120,165,166,0.007850031
0.33,27207,27207,31643,166,166,166,0.018304113
0.34,59648,25124,34081,166,166,166,0.008348981
0.35,58833,22518,35828,161,168,171,0.008498632
0.36,59293,21525,37251,168,171,170,0.008584487
0.37,60177,18587,41099,175,176,176,0.008757499
0.38,15048,15048,45348,179,179,179,0.035685805
0.39,11609,11609,48811,176,179,179,0.045998794
0.4,61105,9594,51131,176,179,177,0.008706325
, History Time Limit ,3,,,,,#VALUE!
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,#VALUE!
0,8712,7356,1354,1,1,1,0.000344353
0.01,8712,7356,1354,1,1,1,0.000344353
0.02,8712,7356,1354,1,1,1,0.000344353
0.03,8712,7356,1354,1,1,1,0.000344353
0.04,8712,7356,1354,1,1,1,0.000344353
0.05,8712,7356,1354,1,1,1,0.000344353
0.06,8712,7356,1354,1,1,1,0.000344353
0.07,8712,7356,1354,1,1,1,0.000344353
0.08,8396,8396,1361,1,1,1,0.000357313
0.09,11944,10372,1531,5,6,6,0.001423309
0.1,30090,30090,2221,79,80,80,0.007942838
0.11,29386,29386,2485,79,79,79,0.008065065
0.12,28508,28508,2508,76,77,77,0.008067911
0.13,29690,29690,2814,80,80,80,0.00808353
0.14,42295,42295,3613,126,126,125,0.008913583
0.15,34619,29632,4899,3,3,70,0.002195326
0.16,28593,28593,5051,4,4,67,0.00262302
0.17,33242,33242,5690,1,1,93,0.00285783
0.18,35823,35823,6045,1,1,109,0.003098568
0.19,48162,48162,6114,108,109,110,0.006789585
0.2,48535,48535,6128,111,111,111,0.006861028
0.21,48302,48302,6302,114,113,113,0.007039046
0.22,42744,42744,6307,95,94,95,0.006644207
0.23,34837,34837,6477,1,1,106,0.003100152
0.24,32094,32094,7027,1,1,96,0.00305353
0.25,30937,30937,8090,1,1,96,0.003167728
0.26,50237,39571,10346,99,99,98,0.005892072
0.27,36562,36562,12548,95,95,96,0.007822329
0.28,32443,32443,16243,92,92,94,0.008568875
0.29,30604,30604,19082,97,98,100,0.009639263
0.3,50090,27423,22366,97,96,97,0.005789579
0.31,49280,25636,23345,96,97,97,0.00588474
0.32,27636,27636,30992,157,166,168,0.017766681
0.33,58129,26436,31221,158,157,158,0.008137074
0.34,23205,23205,34844,160,163,163,0.020943762
0.35,22895,22895,36223,169,170,172,0.022319284
0.36,59038,20055,38379,165,170,167,0.008502998
0.37,60357,14737,45133,176,177,177,0.008781086
0.38,60920,11699,48831,179,179,179,0.008814839
0.39,8477,8477,51937,174,178,177,0.062404152
0.4,60877,7999,52500,176,179,179,0.008771786
, History Time Limit ,4,,,,,#VALUE!
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,#VALUE!
0,8712,7356,1354,1,1,1,0.000344353
0.01,8712,7356,1354,1,1,1,0.000344353
0.02,8712,7356,1354,1,1,1,0.000344353
0.03,8712,7356,1354,1,1,1,0.000344353
0.04,8712,7356,1354,1,1,1,0.000344353
0.05,8712,7356,1354,1,1,1,0.000344353
0.06,8712,7356,1354,1,1,1,0.000344353
0.07,8712,7356,1354,1,1,1,0.000344353
0.08,8396,8396,1361,1,1,1,0.000357313
0.09,10433,10433,1608,6,6,6,0.001725295
0.1,23914,23914,1773,57,57,57,0.007150623
0.11,23494,23494,1848,57,57,57,0.007278454
0.12,28895,28895,2177,77,77,76,0.007959855
0.13,29871,29871,3001,82,82,82,0.008235412
0.14,30892,30892,3100,86,86,86,0.008351677
0.15,26964,26964,3233,72,72,73,0.008047767
0.16,31191,31191,3331,87,87,88,0.008399859
0.17,32555,32555,5591,1,1,91,0.002856704
0.18,35823,35823,6045,1,1,109,0.003098568
0.19,48162,48162,6114,108,109,110,0.006789585
0.2,48535,48535,6128,111,111,111,0.006861028
0.21,41447,34868,6388,12,11,100,0.002967645
0.22,42777,42777,6319,95,95,95,0.006662459
0.23,31446,31446,6582,1,1,89,0.00289385
0.24,39422,32118,7179,1,1,98,0.002536655
0.25,41235,41235,8506,98,98,97,0.007105614
0.26,48994,38024,10697,95,93,96,0.005796628
0.27,36097,36097,13663,97,98,98,0.008117018
0.28,32358,32358,16765,94,94,97,0.008807714
0.29,29084,29084,19784,93,93,95,0.00966167
0.3,26705,26705,22438,95,94,96,0.010672159
0.31,24965,24965,23760,95,95,95,0.011415982
0.32,25975,25975,28378,85,164,166,0.015976901
0.33,57514,26295,30780,153,153,153,0.007980666
0.34,59002,23800,34597,160,166,167,0.008355649
0.35,59106,21679,36959,166,169,171,0.008560891
0.36,17691,17691,40571,166,169,168,0.028432536
0.37,60273,14041,45715,175,175,176,0.008726959
0.38,60520,11003,49112,178,178,177,0.008807006
0.39,60435,9109,50961,174,178,177,0.008753206
0.4,7155,7155,53062,175,178,177,0.074074074
, History Time Limit ,5,,,,,#VALUE!
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,#VALUE!
0,8712,7356,1354,1,1,1,0.000344353
0.01,8712,7356,1354,1,1,1,0.000344353
