 , , ,Welcome To My Trace File 
, History Time Limit ,1
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,44757,119,131,120,130,250,0,
0.1,44757,119,131,120,130,250,0,
0.2,44757,119,131,120,130,250,0,
0.3,81477,232,18,229,21,250,0,
0.4,86625,250,0,246,4,250,0,
0.5,87601,250,0,247,3,250,0,
0.6,87837,250,0,247,3,250,0,
0.7,87572,249,1,246,4,250,0,
, History Time Limit ,2
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,44757,119,131,120,130,250,0,
0.1,44757,119,131,120,130,250,0,
0.2,44757,119,131,120,130,250,0,
0.3,80760,228,22,228,22,250,0,
0.4,87438,250,0,242,8,250,0,
0.5,87601,250,0,247,3,250,0,
0.6,87837,250,0,247,3,250,0,
0.7,87572,249,1,246,4,250,0,
, History Time Limit ,3
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,44757,119,131,120,130,250,0,
0.1,44757,119,131,120,130,250,0,
0.2,44757,119,131,120,130,250,0,
0.3,78700,221,29,221,29,250,0,
0.4,87428,250,0,248,2,250,0,
0.5,87601,250,0,247,3,250,0,
0.6,87837,250,0,247,3,250,0,
0.7,87572,249,1,246,4,250,0,
, History Time Limit ,4
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,44757,119,131,120,130,250,0,
0.1,44757,119,131,120,130,250,0,
0.2,44757,119,131,120,130,250,0,
0.3,75405,210,40,210,40,250,0,
0.4,87334,250,0,246,4,250,0,
0.5,87601,250,0,247,3,250,0,
0.6,87837,250,0,247,3,250,0,
0.7,87572,249,1,246,4,250,0,
, History Time Limit ,5
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,44757,119,131,120,130,250,0,
0.1,44757,119,131,120,130,250,0,
0.2,44757,119,131,120,130,250,0,
0.3,57303,152,98,151,99,250,0,
0.4,87334,250,0,246,4,250,0,
0.5,87601,250,0,247,3,250,0,
0.6,87837,250,0,247,3,250,0,
0.7,87572,249,1,246,4,250,0,
, History Time Limit ,6
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,44757,119,131,120,130,250,0,
0.1,44757,119,131,120,130,250,0,
0.2,44757,119,131,120,130,250,0,
0.3,36532,68,182,68,182,250,0,
0.4,87334,250,0,246,4,250,0,
0.5,87601,250,0,247,3,250,0,
0.6,87837,250,0,247,3,250,0,
0.7,87572,249,1,246,4,250,0,
, History Time Limit ,7
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,44757,119,131,120,130,250,0,
0.1,44757,119,131,120,130,250,0,
0.2,44757,119,131,120,130,250,0,
0.3,51818,131,119,131,119,250,0,
0.4,87334,250,0,246,4,250,0,
0.5,87601,250,0,247,3,250,0,
0.6,87837,250,0,247,3,250,0,
0.7,87572,249,1,246,4,250,0,
, History Time Limit ,8
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,44757,119,131,120,130,250,0,
0.1,44757,119,131,120,130,250,0,
0.2,44757,119,131,120,130,250,0,
0.3,62537,170,80,168,82,250,0,
0.4,87334,250,0,246,4,250,0,
0.5,87601,250,0,247,3,250,0,
0.6,87837,250,0,247,3,250,0,
0.7,87572,249,1,246,4,250,0,
, History Time Limit ,9
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,44757,119,131,120,130,250,0,
0.1,44757,119,131,120,130,250,0,
0.2,44757,119,131,120,130,250,0,
0.3,22541,23,227,23,227,250,0,
0.4,87334,250,0,246,4,250,0,
0.5,87601,250,0,247,3,250,0,
0.6,87837,250,0,247,3,250,0,
0.7,87572,249,1,246,4,250,0,
, History Time Limit ,10
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,44757,119,131,120,130,250,0,
0.1,44757,119,131,120,130,250,0,
0.2,44757,119,131,120,130,250,0,
0.3,13204,3,247,3,247,250,0,
0.4,87334,250,0,246,4,250,0,
0.5,87601,250,0,247,3,250,0,
0.6,87837,250,0,247,3,250,0,
0.7,87572,249,1,246,4,250,0,
