 , , , Trace File ,,,,
, History Time Limit ,1,,,,,
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,Ratio
0,7069,5712,1357,0,0,0,0
0.01,7069,5712,1357,0,0,0,0
0.02,7069,5712,1357,0,0,0,0
0.03,7069,5712,1357,0,0,0,0
0.04,7069,5712,1357,0,0,0,0
0.05,7069,5712,1357,0,0,0,0
0.06,7069,5712,1357,0,0,0,0
0.07,7069,5712,1357,0,0,0,0
0.08,7069,5712,1357,0,0,0,0
0.09,7069,5712,1357,0,0,0,0
0.1,7069,5712,1357,0,0,0,0
0.11,7069,5712,1357,0,0,0,0
0.12,7069,5712,1357,0,0,0,0
0.13,7069,5712,1357,0,0,0,0
0.14,7069,5712,1357,0,0,0,0
0.15,7069,5712,1357,0,0,0,0
0.16,7069,5712,1357,0,0,0,0
0.17,7069,5712,1357,0,0,0,0
0.18,7069,5712,1357,0,0,0,0
0.19,7069,5712,1357,0,0,0,0
0.2,7069,5712,1357,0,0,0,0
0.21,7098,5736,1362,0,0,0,0
0.22,7004,5601,1403,0,0,0,0
0.23,6811,5388,1423,0,0,0,0
0.24,6977,5422,1555,0,0,0,0
0.25,11355,9229,2069,13,12,12,0.003258476
0.26,15274,12319,2863,24,23,24,0.004648422
0.27,17471,14270,3113,31,31,30,0.005265869
0.28,22880,18312,4442,50,50,50,0.006555944
0.29,22905,18013,4766,49,49,48,0.006374154
0.3,45658,34113,11212,121,122,121,0.007972316
0.31,45629,31678,13623,121,121,120,0.007933551
0.32,67925,43586,23845,192,192,192,0.008479941
0.33,66790,39337,26960,189,189,189,0.008489295
0.34,65373,34854,30014,184,184,184,0.008443853
0.35,64411,31418,32540,181,181,181,0.008430237
0.36,64442,27313,36593,182,182,182,0.008472735
0.37,63502,24774,38220,177,178,176,0.008361941
0.38,62346,21839,40062,175,175,175,0.008420749
0.39,62949,19926,42541,177,176,177,0.008419514
0.4,62200,16651,45147,176,176,177,0.008504823
0.41,62939,15180,47343,177,178,177,0.008452629
0.42,63173,12200,50575,178,178,178,0.008452978
0.43,62732,7967,54352,177,177,177,0.008464579
0.44,62753,7798,54580,176,177,176,0.008429876
0.45,62624,6281,56031,176,177,176,0.008447241
0.46,63153,6639,56179,176,178,178,0.008423986
0.47,63243,5800,57079,178,178,179,0.008459434
0.48,63662,5135,58156,180,180,179,0.008466589
0.49,63415,5356,57693,177,178,179,0.008420721
0.5,63603,3707,59587,178,179,179,0.008427275
0.51,63683,3743,59634,179,178,178,0.008400986
0.52,63216,2537,60360,178,177,177,0.008415591
0.53,63331,2620,60373,177,178,178,0.0084161
0.54,63956,2407,61193,179,178,178,0.008365126
0.55,64007,2570,61024,178,179,179,0.008374084
0.56,64036,1830,61725,178,179,179,0.008370292
0.57,63963,1720,61765,178,178,178,0.008348577
0.58,64079,805,62791,178,178,178,0.008333463
0.59,63945,539,62892,178,178,177,0.008335288
0.6,64538,910,63127,179,179,179,0.008320679
,,,,,,,0.008504823
