 , , , Trace File 
, History Time Limit ,1
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.00,54701,52241,1930,146,104,146,104,146,104,
0.01,54701,52241,1930,146,104,146,104,146,104,
0.02,54701,52241,1930,146,104,146,104,146,104,
0.03,54701,52241,1930,146,104,146,104,146,104,
0.04,54701,52241,1930,146,104,146,104,146,104,
0.05,54701,52241,1930,146,104,146,104,146,104,
0.06,54701,52241,1930,146,104,146,104,146,104,
0.07,54701,52241,1930,146,104,146,104,146,104,
0.08,54701,52241,1930,146,104,146,104,146,104,
0.09,54701,52241,1930,146,104,146,104,146,104,
0.10,54701,52241,1930,146,104,146,104,146,104,
0.11,54701,52241,1930,146,104,146,104,146,104,
0.12,54701,52241,1930,146,104,146,104,146,104,
0.13,54701,52241,1930,146,104,146,104,146,104,
0.14,54701,52241,1930,146,104,146,104,146,104,
0.15,54701,52241,1930,146,104,146,104,146,104,
0.16,54701,52241,1930,146,104,146,104,146,104,
0.17,54701,52241,1930,146,104,146,104,146,104,
0.18,54701,52241,1930,146,104,146,104,146,104,
0.19,54701,52241,1930,146,104,146,104,146,104,
0.20,54701,52241,1930,146,104,146,104,146,104,
0.21,48397,45815,2138,145,105,122,128,145,105,
0.22,30946,28170,2298,69,181,69,181,141,109,
0.23,54471,50193,3684,146,104,144,106,146,104,
0.24,54313,49331,4419,147,103,144,106,147,103,
0.25,53855,48190,5158,142,108,142,108,142,108,
0.26,55599,48699,6287,148,102,148,102,148,102,
0.27,55558,47809,7167,147,103,148,102,148,102,
0.28,55492,47010,7895,148,102,148,102,148,102,
0.29,55345,44436,10406,147,103,148,102,148,102,
0.30,57013,38447,18002,153,97,153,97,153,97,
0.31,81283,50756,29659,227,23,227,23,227,23,
0.32,76391,41809,33809,205,45,206,44,206,44,
0.33,56160,27147,28453,151,99,151,99,151,99,
0.34,84742,35889,48047,241,9,241,9,240,10,
0.35,83782,33672,49280,239,11,239,11,239,11,
0.36,85047,32173,51995,243,7,243,7,243,7,
0.37,86259,30137,55131,250,0,249,1,250,0,
0.38,85797,25801,59041,248,2,249,1,250,0,
0.39,85836,22518,62331,250,0,250,0,250,0,
0.40,86303,17970,67393,250,0,249,1,250,0,
0.41,86021,17098,67803,250,0,249,1,250,0,
0.42,86198,12839,72499,250,0,249,1,250,0,
0.43,86298,11790,73527,250,0,249,1,250,0,
0.44,86204,11407,73866,250,0,250,0,250,0,
0.45,86530,10009,75611,250,0,249,1,250,0,
0.46,86614,8941,76726,250,0,250,0,250,0,
0.47,86818,7623,78318,250,0,250,0,250,0,
0.48,86862,7229,78640,250,0,250,0,250,0,
0.49,86683,5728,80062,250,0,250,0,250,0,
0.50,87060,5498,80708,250,0,250,0,250,0,
0.51,86908,5887,80184,250,0,250,0,250,0,
0.52,86944,4529,81567,250,0,250,0,250,0,
0.53,87233,4406,81936,250,0,250,0,250,0,
0.54,87636,2328,84472,250,0,250,0,250,0,
0.55,87529,1383,85233,250,0,250,0,250,0,
0.56,87684,1325,85464,250,0,250,0,250,0,
0.57,87974,744,86247,250,0,250,0,250,0,
0.58,87997,1394,85669,250,0,250,0,250,0,
0.59,87799,405,86451,250,0,250,0,250,0,
0.60,87919,159,86823,250,0,250,0,250,0,
