 , , , Trace File 
, History Time Limit ,1
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.00,54698,52357,1903,146,104,146,104,146,104,
0.01,54698,52357,1903,146,104,146,104,146,104,
0.02,54698,52357,1903,146,104,146,104,146,104,
0.03,54698,52357,1903,146,104,146,104,146,104,
0.04,54698,52357,1903,146,104,146,104,146,104,
0.05,54698,52357,1903,146,104,146,104,146,104,
0.06,54698,52357,1903,146,104,146,104,146,104,
0.07,54698,52357,1903,146,104,146,104,146,104,
0.08,54698,52357,1903,146,104,146,104,146,104,
0.09,54698,52357,1903,146,104,146,104,146,104,
0.10,54698,52357,1903,146,104,146,104,146,104,
0.11,54698,52357,1903,146,104,146,104,146,104,
0.12,54698,52357,1903,146,104,146,104,146,104,
0.13,54698,52357,1903,146,104,146,104,146,104,
0.14,54698,52357,1903,146,104,146,104,146,104,
0.15,54698,52357,1903,146,104,146,104,146,104,
0.16,54698,52357,1903,146,104,146,104,146,104,
0.17,54698,52357,1903,146,104,146,104,146,104,
0.18,54698,52357,1903,146,104,146,104,146,104,
0.19,54698,52357,1903,146,104,146,104,146,104,
0.20,54698,52357,1903,146,104,146,104,146,104,
0.21,41745,39061,2111,123,127,99,151,137,113,
0.22,35061,32217,2514,93,157,65,185,117,133,
0.23,13649,11491,2095,22,228,22,228,22,228,
0.24,55083,49825,4853,147,103,147,103,147,103,
0.25,55429,49726,5282,147,103,148,102,148,102,
0.26,55191,48573,6164,146,104,147,103,146,104,
0.27,54960,47505,7051,146,104,147,103,147,103,
0.28,55327,46618,8323,148,102,148,102,148,102,
0.29,55454,44076,10961,148,102,148,102,148,102,
0.30,85058,58982,25396,240,10,240,10,240,10,
0.31,71588,43083,27995,182,68,182,68,182,68,
0.32,82176,45251,36241,229,21,229,21,229,21,
0.33,84923,40122,44152,240,10,240,10,240,10,
0.34,83829,37088,46092,237,13,237,13,237,13,
0.35,84064,35428,47944,238,12,238,12,238,12,
0.36,85318,32611,52041,244,6,244,6,244,6,
0.37,85885,30403,54769,248,2,250,0,246,4,
0.38,85936,25364,59869,248,2,250,0,247,3,
0.39,85926,20982,64173,247,3,249,1,248,2,
0.40,85837,15836,69421,248,2,249,1,248,2,
0.41,85898,13554,71721,247,3,250,0,249,1,
0.42,85969,10489,74962,250,0,250,0,250,0,
0.43,86027,8721,76783,250,0,250,0,250,0,
0.44,86245,8030,77745,250,0,250,0,250,0,
0.45,86348,7002,78919,250,0,250,0,250,0,
0.46,86364,6693,79225,250,0,250,0,250,0,
0.47,86471,6141,79917,250,0,250,0,250,0,
0.48,86362,5999,79928,250,0,250,0,250,0,
0.49,86641,5718,80464,250,0,250,0,250,0,
0.50,86634,5163,81031,250,0,250,0,250,0,
0.51,86634,5163,81031,250,0,250,0,250,0,
0.52,86779,4488,81826,250,0,250,0,250,0,
0.53,86753,3592,82675,250,0,250,0,250,0,
0.54,87389,1910,84892,250,0,250,0,250,0,
0.55,87427,1618,85207,250,0,250,0,250,0,
0.56,87581,1596,85330,250,0,250,0,250,0,
0.57,87657,1120,85862,250,0,250,0,250,0,
0.58,87440,1011,85716,250,0,250,0,250,0,
0.59,87670,319,86627,250,0,250,0,250,0,
0.60,87618,261,86623,250,0,250,0,250,0,
