 , , , Trace File ,,,,,
, History Time Limit ,1,,,,,,
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,Ratio,
0,9897,9013,884,0,0,0,0,
0.01,9897,9013,884,0,0,0,0,
0.02,9897,9013,884,0,0,0,0,
0.03,9897,9013,884,0,0,0,0,
0.04,12505,11604,901,0,0,0,0,
0.05,12581,11612,969,0,0,0,0,
0.06,46365,44530,1412,144,120,142,0.008756605,
0.07,53265,51272,1485,154,149,152,0.008542195,
0.08,51562,49585,1565,145,143,145,0.008397657,
0.09,53432,51251,1683,151,151,153,0.008515496,
0.1,53423,51275,1746,151,151,151,0.008479494,
0.11,50437,48220,1816,146,142,146,0.008604794,
0.12,49814,47484,1899,139,139,141,0.00841129,
0.13,57227,54669,2096,163,163,163,0.008544918,
0.14,57182,54535,2180,166,163,166,0.00865657,
0.15,56094,53497,2164,160,160,162,0.008592719,
0.16,60604,57471,2560,177,175,174,0.008679295,
0.17,58263,55071,2731,167,167,167,0.008598939,
0.18,54179,50862,2925,154,154,153,0.008508832,
0.19,56640,53093,3084,161,161,161,0.008527542,
0.2,57016,53111,3405,163,162,165,0.008594079,
0.21,61286,56994,3849,178,177,177,0.008680612,
0.22,59324,54520,4298,171,171,171,0.008647428,
0.23,63663,57660,5425,185,186,186,0.008749195,
0.24,59322,52653,6170,171,171,171,0.008647719,
0.25,61929,54677,6749,180,179,180,0.008703515,
0.26,60553,51949,8145,175,175,176,0.008686605,
0.27,60595,51718,8316,176,176,174,0.008680584,
0.28,62529,51686,10258,181,182,181,0.008699963,
0.29,61826,50042,11260,180,180,180,0.008734189,
0.3,64081,49356,14190,187,186,187,0.00873894,
0.31,63847,44820,18508,187,187,186,0.008770968,
0.32,65076,44183,20283,189,189,189,0.00871289,
0.33,65097,40601,23974,190,190,190,0.008756164,
0.34,62695,35193,26956,184,184,184,0.00880453,
0.35,62295,32177,29614,182,182,182,0.008764748,
0.36,61946,27699,33738,182,181,182,0.008797985,
0.37,61106,26290,34322,179,179,179,0.008788008,
0.38,60810,23976,36333,179,179,179,0.008830784,
0.39,59984,20099,39381,177,177,177,0.008852361,
0.4,60403,16970,42919,178,178,178,0.00884062,
0.41,60233,15498,44239,177,177,177,0.008815765,
0.42,60598,13337,46896,178,178,178,0.008812172,
0.43,59978,8988,50646,177,177,177,0.008853246,
0.44,60289,7718,52189,177,177,177,0.008807577,
0.45,60033,6884,52797,176,177,177,0.008828478,
0.46,60564,6491,53725,176,177,177,0.008751073,
0.47,60012,5328,54364,177,177,177,0.00884823,
0.48,60551,4999,55251,178,178,178,0.008819012,
0.49,60451,4417,55726,176,177,176,0.008750889,
0.5,60487,4393,55756,177,177,176,0.008762213,
0.51,60487,4393,55756,177,177,176,0.008762213,
0.52,60631,3015,57269,176,177,177,0.008741403,
0.53,60201,2707,57170,177,177,176,0.00880384,
0.54,60418,2209,57849,177,177,177,0.008788772,
0.55,60592,2634,57580,177,176,177,0.008747029,
0.56,60829,1179,59211,177,177,176,0.008712949,
0.57,60648,1083,59067,176,177,177,0.008738953,
0.58,61107,680,59914,175,177,177,0.008656946,
0.59,60884,347,60057,176,175,176,0.008655804,
0.6,60533,513,59503,176,176,176,0.008722515,
,,,,,,,0.008853246,
