 , , , Trace File ,,,
, History Time Limit ,1,,,,
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique
0,13678,11946,1690,15,15,15
0.1,13907,12167,1698,15,15,15
0.2,15489,13728,1699,22,22,22
0.3,49660,49660,16536,188,188,188
0.4,14440,14440,47824,178,174,178
0.5,64120,889,62682,178,177,178
0.6,64428,,63913,178,178,178
0.7,64409,,63897,177,178,177
0.8,64413,,63901,177,178,177
0.9,64413,,63901,177,178,177
1,64413,,63901,177,178,177
, History Time Limit ,2,,,,
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique
0,13981,12046,1889,14,14,14
0.1,11929,9997,1911,7,7,7
0.2,11915,9965,1929,7,7,7
0.3,65674,42883,22181,184,185,184
0.4,6515,6515,56476,178,174,179
0.5,63828,609,62701,178,178,176
0.6,64257,,63751,178,178,177
0.7,64409,,63897,177,178,177
0.8,64413,,63901,177,178,177
0.9,64413,,63901,177,178,177
1,64413,,63901,177,178,177
, History Time Limit ,3,,,,
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique
0,11802,10134,1651,7,7,7
0.1,12076,10401,1660,7,7,7
0.2,14419,12280,2060,17,17,17
0.3,38671,38671,26599,186,187,186
0.4,63841,6286,57032,179,176,179
0.5,63828,609,62701,178,178,176
0.6,64257,,63751,178,178,177
0.7,64409,,63897,177,178,177
0.8,64413,,63901,177,178,177
0.9,64413,,63901,177,178,177
1,64413,,63901,177,178,177
, History Time Limit ,4,,,,
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique
0,10953,9320,1627,3,3,2
0.1,10652,8975,1671,2,3,3
0.2,10711,9319,1392,0,0,0
0.3,36095,36095,29663,187,188,188
0.4,63617,5190,57870,180,173,180
0.5,63828,609,62701,178,178,176
0.6,64257,,63751,178,178,177
0.7,64409,,63897,177,178,177
0.8,64413,,63901,177,178,177
0.9,64413,,63901,177,178,177
1,64413,,63901,177,178,177
, History Time Limit ,5,,,,
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique
0,10655,9256,1399,0,0,0
0.1,10711,9319,1392,0,0,0
0.2,10711,9319,1392,0,0,0
0.3,65151,35410,29131,183,184,184
0.4,63191,5171,57463,178,172,177
0.5,63828,609,62701,178,178,176
0.6,64257,,63751,178,178,177
0.7,64409,,63897,177,178,177
0.8,64413,,63901,177,178,177
0.9,64413,,63901,177,178,177
1,64413,,63901,177,178,177
, History Time Limit ,6,,,,
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique
0,10469,9061,1408,0,0,0
0.1,10711,9319,1392,0,0,0
0.2,12009,10323,1666,7,7,7
0.3,36832,36832,28201,186,187,187
0.4,62950,5083,57326,178,172,178
0.5,63828,609,62701,178,178,176
0.6,64257,,63751,178,178,177
0.7,64409,,63897,177,178,177
0.8,64413,,63901,177,178,177
0.9,64413,,63901,177,178,177
1,64413,,63901,177,178,177
, History Time Limit ,7,,,,
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique
0,10619,9209,1410,0,0,0
0.1,10711,9319,1392,0,0,0
0.2,14463,12461,1944,18,18,18
0.3,35911,35911,29632,186,188,188
0.4,63701,5930,57210,178,173,178
0.5,63828,609,62701,178,178,176
0.6,64257,,63751,178,178,177
0.7,64409,,63897,177,178,177
0.8,64413,,63901,177,178,177
0.9,64413,,63901,177,178,177
1,64413,,63901,177,178,177
, History Time Limit ,8,,,,
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique
0,10619,9209,1410,0,0,0
0.1,10711,9319,1392,0,0,0
0.2,12867,11146,1700,10,10,10
0.3,36577,36577,28836,187,188,188
0.4,63110,5770,56804,178,173,178
0.5,63828,609,62701,178,178,176
0.6,64257,,63751,178,178,177
0.7,64409,,63897,177,178,177
0.8,64413,,63901,177,178,177
0.9,64413,,63901,177,178,177
1,64413,,63901,177,178,177
, History Time Limit ,9,,,,
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique
0,10619,9209,1410,0,0,0
0.1,10711,9319,1392,0,0,0
0.2,12867,11146,1700,10,10,10
0.3,36651,36651,29419,189,190,189
0.4,63097,5629,56972,178,173,177
0.5,63828,609,62701,178,178,176
0.6,64257,,63751,178,178,177
0.7,64409,,63897,177,178,177
0.8,64413,,63901,177,178,177
0.9,64413,,63901,177,178,177
1,64413,,63901,177,178,177
, History Time Limit ,10,,,,
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique
0,10619,9209,1410,0,0,0
0.1,10711,9319,1392,0,0,0
0.2,12867,11146,1700,10,10,10
0.3,65439,36109,28721,184,185,185
0.4,63106,5549,57061,178,173,178
0.5,63828,609,62701,178,178,176
0.6,64257,,63751,178,178,177
0.7,64409,,63897,177,178,177
0.8,64413,,63901,177,178,177
0.9,64413,,63901,177,178,177
1,64413,,63901,177,178,177
