 , , , Trace File 
, History Time Limit ,1
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,188,,,1,249,1,249,1,249,
0.1,60765,,,176,74,178,72,176,74,
0.2,48535,,,111,139,111,139,111,139,
0.3,62753,7798,54580,176,74,177,73,176,74,
0.4,62753,7798,54580,176,74,177,73,176,74,
0.5,62753,7798,54580,176,74,177,73,176,74,
0.6,62753,7798,54580,176,74,177,73,176,74,
0.7,47148,41741,5487,176,74,177,73,176,74,
0.8,43113,43431,5666,176,74,177,73,176,74,
0.9,5800,45300,5841,176,74,177,73,176,74,
1.0,48535,48535,6128,111,139,111,139,176,74,
, History Time Limit ,2
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,8712,7356,1354,1,249,1,249,1,249,
0.1,30494,30494,2109,80,170,81,169,80,170,
0.2,,,,0,0,0,0,0,0,
0.3,,,,0,0,0,0,0,0,
0.4,8712,983,,0,0,0,0,0,0,
0.5,8712,7356,1354,1,249,1,249,1,249,
0.6,8712,7356,1354,1,249,1,249,1,249,
0.7,8712,7356,1354,1,249,1,249,1,249,
0.8,61733,4,61192,178,72,178,72,177,73,
0.9,61733,4,61192,178,72,178,72,177,73,
1.0,61105,,,49,24,49,24,76,33,
, History Time Limit ,3
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,64056,,,178,72,178,72,178,72,
0.1,48387,,,149,67,0,1,150,66,
0.2,61105,,,176,74,179,71,177,73,
0.3,61105,9594,51131,25,12,179,71,177,73,
0.4,8885,8885,53516,178,72,179,71,177,73,
0.5,8885,8885,53516,178,72,179,71,177,73,
0.6,61796,,,177,73,178,72,178,72,
0.7,61643,3,61110,178,72,178,72,178,72,
0.8,64160,468,63192,178,72,178,72,177,73,
0.9,62124,,61595,178,72,178,72,178,72,
1.0,62124,,61595,178,72,178,72,178,72,
, History Time Limit ,4
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,62124,,61880,178,72,178,72,178,72,
0.1,64413,,6219,0,0,0,0,0,0,
0.2,48535,,,111,139,111,139,111,139,
0.3,48535,,,111,139,111,139,111,139,
0.4,59106,21679,36959,166,84,169,81,171,79,
0.5,22915,22915,41254,182,68,182,68,181,69,
0.6,22915,22915,41254,182,68,182,68,181,69,
0.7,60520,11003,49112,178,72,178,72,177,73,
0.8,12519,12519,49608,178,72,178,72,177,73,
0.9,62124,,,178,72,178,72,178,72,
1.0,64056,34,63482,178,72,178,72,178,72,
, History Time Limit ,5
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,7155,7155,53062,175,75,178,72,177,73,
0.1,7155,,,175,75,178,72,177,73,
0.2,48535,,,111,139,111,139,111,139,
0.3,7069,5712,1357,0,0,0,0,0,0,
0.4,52973,7571,54798,175,75,177,73,178,72,
0.5,60813,,,175,75,177,73,178,72,
0.6,7069,5712,1357,0,0,0,0,0,0,
0.7,7069,5712,1357,0,0,0,0,0,0,
0.8,7069,5712,1357,0,0,0,0,0,0,
0.9,7069,5712,1357,0,0,0,0,0,0,
1.0,7069,5712,1357,0,0,0,0,0,0,
, History Time Limit ,6
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,7069,5712,1357,0,0,0,0,0,0,
0.1,7069,5712,1357,0,0,0,0,0,0,
0.2,7069,5712,1357,0,0,0,0,0,0,
0.3,7069,5712,1357,0,0,0,0,0,0,
0.4,7069,5712,1357,0,0,0,0,0,0,
0.5,7069,5712,1357,0,0,0,0,0,0,
0.6,7069,5712,1357,0,0,0,0,0,0,
0.7,7069,5712,1357,0,0,0,0,0,0,
0.8,7069,5712,1357,0,0,0,0,0,0,
0.9,7069,5712,1357,0,0,0,0,0,0,
1.0,7069,5712,1357,0,0,0,0,0,0,
, History Time Limit ,7
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,7069,5712,1357,0,0,0,0,0,0,
0.1,7069,5712,1357,0,0,0,0,0,0,
0.2,7069,5712,1357,0,0,0,0,0,0,
0.3,7069,5712,1357,0,0,0,0,0,0,
0.4,7069,5712,1357,0,0,0,0,0,0,
0.5,7069,5712,1357,0,0,0,0,0,0,
0.6,7069,5712,1357,0,0,0,0,0,0,
0.7,7069,5712,1357,0,0,0,0,0,0,
0.8,63505,5181,58015,175,75,178,72,177,73,
0.9,63048,3974,58794,178,72,177,73,176,74,
1.0,63048,3974,58794,178,72,178,72,178,72,
, History Time Limit ,8
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,63048,3974,58794,178,72,178,72,178,72,
0.1,8712,7356,1354,1,249,1,249,1,249,
0.2,8712,7356,1354,1,249,1,249,1,249,
0.3,50090,27423,22366,97,153,96,154,97,153,
0.4,50090,27423,22366,121,129,121,129,121,129,
0.5,50090,27423,22366,121,129,121,129,121,129,
0.6,50090,27423,22366,121,129,121,129,121,129,
0.7,50090,27423,22366,121,129,121,129,121,129,
0.8,50090,27423,22366,121,129,121,129,121,129,
0.9,50090,27423,22366,121,129,121,129,121,129,
1.0,50090,27423,22366,121,129,121,129,121,129,
, History Time Limit ,9
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,50090,27423,22366,121,129,121,129,121,129,
0.1,50090,27423,22366,121,129,121,129,121,129,
0.2,50090,27423,22366,121,129,121,129,121,129,
0.3,50090,27423,22366,121,129,121,129,121,129,
0.4,50090,27423,22366,121,129,121,129,121,129,
0.5,50090,27423,22366,121,129,121,129,121,129,
0.6,50090,27423,22366,121,129,121,129,121,129,
0.7,50090,27423,22366,121,129,121,129,121,129,
0.8,50090,27423,22366,121,129,121,129,121,129,
0.9,50090,27423,22366,121,129,121,129,121,129,
1.0,50090,27423,22366,121,129,121,129,121,129,
, History Time Limit ,10
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,50090,27423,22366,121,129,121,129,121,129,
0.1,50090,27423,22366,121,129,121,129,121,129,
0.2,50090,27423,22366,121,129,121,129,121,129,
0.3,50090,27423,22366,121,129,121,129,121,129,
0.4,50090,27423,22366,121,129,121,129,121,129,
0.5,50090,27423,22366,121,129,121,129,121,129,
0.6,50090,27423,22366,121,129,121,129,121,129,
0.7,50090,27423,22366,121,129,121,129,121,129,
0.8,50090,27423,22366,121,129,121,129,121,129,
0.9,50090,27423,22366,121,129,121,129,121,129,
1.0,50090,27423,22366,121,129,121,129,121,129,
