 , , , Trace File 
, History Time Limit ,1
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.00,2002,1025,978,0,0,0,0,0,0,
0.01,2002,1025,978,0,0,0,0,0,0,
0.02,2002,1025,978,0,0,0,0,0,0,
0.03,2002,1025,978,0,0,0,0,0,0,
0.04,2002,1025,978,0,0,0,0,0,0,
0.05,2002,1025,978,0,0,0,0,0,0,
0.06,2002,1025,978,0,0,0,0,0,0,
0.07,2002,1025,978,0,0,0,0,0,0,
0.08,2002,1025,978,0,0,0,0,0,0,
0.09,2002,1025,978,0,0,0,0,0,0,
0.10,2002,1025,978,0,0,0,0,0,0,
0.11,2002,1025,978,0,0,0,0,0,0,
0.12,2002,1025,978,0,0,0,0,0,0,
0.13,2002,1025,978,0,0,0,0,0,0,
0.14,2002,1025,978,0,0,0,0,0,0,
0.15,2002,1025,978,0,0,0,0,0,0,
0.16,2002,1025,978,0,0,0,0,0,0,
0.17,2002,1025,978,0,0,0,0,0,0,
0.18,2002,1025,978,0,0,0,0,0,0,
0.19,2002,1025,978,0,0,0,0,0,0,
0.20,2002,1025,978,0,0,0,0,0,0,
0.21,2002,1025,978,0,0,0,0,0,0,
0.22,2002,1025,978,0,0,0,0,0,0,
0.23,2002,1025,978,0,0,0,0,0,0,
0.24,2002,1025,978,0,0,0,0,0,0,
0.25,2002,1025,978,0,0,0,0,0,0,
0.26,2002,1025,978,0,0,0,0,0,0,
0.27,2002,1025,978,0,0,0,0,0,0,
0.28,2002,1025,978,0,0,0,0,0,0,
0.29,2002,1025,978,0,0,0,0,0,0,
0.30,1976,988,988,0,0,0,0,0,0,
0.31,2010,1022,991,0,0,0,0,0,0,
0.32,1939,942,997,0,0,0,0,0,0,
0.33,1921,924,997,0,0,0,0,0,0,
0.34,1921,924,997,0,0,0,0,0,0,
0.35,1921,924,997,0,0,0,0,0,0,
0.36,1993,979,1015,0,0,0,0,0,0,
0.37,1996,972,1027,0,0,0,0,0,0,
0.38,1996,969,1030,0,0,0,0,0,0,
0.39,1996,958,1039,0,0,0,0,0,0,
0.40,1989,922,1068,0,0,0,0,0,0,
0.41,1971,918,1053,0,0,0,0,0,0,
0.42,1967,918,1050,0,0,0,0,0,0,
0.43,1979,909,1071,0,0,0,0,0,0,
0.44,1988,892,1097,0,0,0,0,0,0,
0.45,1988,892,1097,0,0,0,0,0,0,
0.46,1988,892,1097,0,0,0,0,0,0,
0.47,1986,887,1100,0,0,0,0,0,0,
0.48,1986,884,1103,0,0,0,0,0,0,
0.49,1989,880,1109,0,0,0,0,0,0,
0.50,1993,770,1226,0,0,0,0,0,0,
0.51,1993,770,1226,0,0,0,0,0,0,
0.52,2121,994,1128,0,0,0,0,0,0,
0.53,2049,904,1146,0,0,0,0,0,0,
0.54,2078,924,1154,0,0,0,0,0,0,
0.55,2078,921,1157,0,0,0,0,0,0,
0.56,2087,894,1194,0,0,0,0,0,0,
0.57,2195,884,1311,0,0,0,0,0,0,
0.58,2350,517,1834,0,0,0,0,0,0,
0.59,2288,693,1596,0,0,0,0,0,0,
0.60,2298,684,1615,0,0,0,0,0,0,
