 , , , Trace File ,,,,,,,,,,,,,,
, History Time Limit ,1,,,,,,,,,,,,,,,
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,Ratio,,,Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,Ratio
0,2208,1264,942,1,1,1,0.001358696,,,0,2208,1264,942,1,1,1,0.001358696
0.01,2208,1264,942,1,1,1,0.001358696,,,0.1,2208,1264,942,1,1,1,0.001358696
0.02,2208,1264,942,1,1,1,0.001358696,,,0.2,2208,1264,942,1,1,1,0.001358696
0.03,2208,1264,942,1,1,1,0.001358696,,,0.3,4887,3052,1828,2,2,2,0.001227747
0.04,2208,1264,942,1,1,1,0.001358696,,,0.4,102552,20198,81752,250,250,250,0.007313363
0.05,2208,1264,942,1,1,1,0.001358696,,,0.5,102955,4890,97622,250,250,250,0.007284736
0.06,2208,1264,942,1,1,1,0.001358696,,,0.6,104396,346,103349,250,250,250,0.007184183
0.07,2208,1264,942,1,1,1,0.001358696,,,,,,,,,,
0.08,2208,1264,942,1,1,1,0.001358696,,,Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,Ratio
0.09,2208,1264,942,1,1,1,0.001358696,,,0.4,102552,20198,81752,250,250,250,0.007313363
0.1,2208,1264,942,1,1,1,0.001358696,,,0.41,34699,6877,27632,78,78,78,0.00674371
0.11,2208,1264,942,1,1,1,0.001358696,,,0.42,102781,13241,89072,250,247,250,0.00726788
0.12,2208,1264,942,1,1,1,0.001358696,,,0.43,102870,9939,92436,250,249,250,0.007281034
0.13,2208,1264,942,1,1,1,0.001358696,,,0.44,102448,8114,93859,250,248,250,0.007301265
0.14,2208,1264,942,1,1,1,0.001358696,,,0.45,103061,9210,93360,250,250,250,0.007277244
0.15,2208,1264,942,1,1,1,0.001358696,,,0.46,102986,7772,94709,250,250,250,0.007282543
0.16,2208,1264,942,1,1,1,0.001358696,,,0.47,45084,4341,40538,110,109,110,0.007297489
0.17,2208,1264,942,1,1,1,0.001358696,,,0.48,103185,6213,96558,250,250,250,0.007268498
0.18,2208,1264,942,1,1,1,0.001358696,,,0.49,102790,6462,95934,250,250,250,0.00729643
0.19,2208,1264,942,1,1,1,0.001358696,,,0.5,102955,4890,97622,250,250,250,0.007284736
0.2,2208,1264,942,1,1,1,0.001358696,,,,,,,,,,
0.21,2208,1264,942,1,1,1,0.001358696,,,,,,,,,,
0.22,2208,1264,942,1,1,1,0.001358696,,,,,,,,,,
0.23,2208,1264,942,1,1,1,0.001358696,,,,,,,,,,
0.24,2208,1264,942,1,1,1,0.001358696,,,,,,,,,,
0.25,2208,1264,942,1,1,1,0.001358696,,,,,,,,,,
0.26,2208,1264,942,1,1,1,0.001358696,,,,,,,,,,
0.27,2208,1264,942,1,1,1,0.001358696,,,,,,,,,,
0.28,2208,1264,942,1,1,1,0.001358696,,,,,,,,,,
0.29,2208,1264,942,1,1,1,0.001358696,,,,,,,,,,
0.3,4887,3052,1828,2,2,2,0.001227747,,,,,,,,,,
0.31,18632,11821,6716,29,30,30,0.004776728,,,,,,,,,,
0.32,18556,10793,7663,29,29,30,0.004742401,,,,,,,,,,
0.33,18431,9744,8575,30,30,30,0.004883077,,,,,,,,,,
0.34,34407,16297,17883,75,75,75,0.006539367,,,,,,,,,,
0.35,32870,14433,18261,70,70,70,0.006388804,,,,,,,,,,
0.36,34742,14858,19664,76,76,76,0.006562662,,,,,,,,,,
0.37,102601,33927,68016,250,248,250,0.007290377,,,,,,,,,,
0.38,102419,29721,72006,250,249,250,0.007313096,,,,,,,,,,
0.39,22883,6220,16495,54,54,53,0.007035791,,,,,,,,,,
0.4,102552,20198,81752,250,250,250,0.007313363,,,,,,,,,,
0.41,34699,6877,27632,78,78,78,0.00674371,,,,,,,,,,
0.42,102781,13241,89072,250,247,250,0.00726788,,,,,,,,,,
0.43,102870,9939,92436,250,249,250,0.007281034,,,,,,,,,,
0.44,102448,8114,93859,250,248,250,0.007301265,,,,,,,,,,
0.45,103061,9210,93360,250,250,250,0.007277244,,,,,,,,,,
0.46,102986,7772,94709,250,250,250,0.007282543,,,,,,,,,,
0.47,45084,4341,40538,110,109,110,0.007297489,,,,,,,,,,
0.48,103185,6213,96558,250,250,250,0.007268498,,,,,,,,,,
0.49,102790,6462,95934,250,250,250,0.00729643,,,,,,,,,,
0.5,102955,4890,97622,250,250,250,0.007284736,,,,,,,,,,
0.51,102955,4890,97622,250,250,250,0.007284736,,,,,,,,,,
0.52,102970,4692,97828,250,250,250,0.007283675,,,,,,,,,,
0.53,103246,3865,98905,250,250,250,0.007264204,,,,,,,,,,
0.54,103906,2472,100853,250,250,250,0.007218062,,,,,,,,,,
0.55,103833,1850,101352,250,250,250,0.007223137,,,,,,,,,,
0.56,103775,1524,101572,250,250,250,0.007227174,,,,,,,,,,
0.57,104140,1409,102019,250,250,250,0.007201844,,,,,,,,,,
0.58,104085,953,102420,250,250,250,0.007205649,,,,,,,,,,
0.59,104334,356,103269,250,250,250,0.007188452,,,,,,,,,,
0.6,104396,346,103349,250,250,250,0.007184183,,,,,,,,,,
,,,,,,,0.007313363,,,,,,,,,,
