 , , , Trace File 
, History Time Limit ,1
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.00,8213,6627,1505,26,224,26,224,26,224,
0.01,8213,6627,1505,26,224,26,224,26,224,
0.02,8213,6627,1505,26,224,26,224,26,224,
0.03,8213,6627,1505,26,224,26,224,26,224,
0.04,8213,6627,1505,26,224,26,224,26,224,
0.05,8213,6627,1505,26,224,26,224,26,224,
0.06,8213,6627,1505,26,224,26,224,26,224,
0.07,8213,6627,1505,26,224,26,224,26,224,
0.08,8213,6627,1505,26,224,26,224,26,224,
0.09,8338,6750,1509,26,224,26,224,26,224,
0.10,8338,6750,1509,26,224,26,224,26,224,
0.11,8338,6750,1509,26,224,26,224,26,224,
0.12,8338,6750,1509,26,224,26,224,26,224,
0.13,8338,6750,1509,26,224,26,224,26,224,
0.14,8338,6750,1509,26,224,26,224,26,224,
0.15,8338,6750,1509,26,224,26,224,26,224,
0.16,8221,6614,1526,26,224,26,224,26,224,
0.17,8183,6598,1510,24,226,24,226,24,226,
0.18,8183,6598,1510,24,226,24,226,24,226,
0.19,8183,6598,1510,24,226,24,226,24,226,
0.20,8149,6569,1515,24,226,24,226,24,226,
0.21,5177,3663,1516,2,248,2,248,2,248,
0.22,5177,3663,1516,2,248,2,248,2,248,
0.23,5334,3799,1533,2,248,2,248,2,248,
0.24,6085,4534,1550,2,248,2,248,2,248,
0.25,6085,4534,1550,2,248,2,248,2,248,
0.26,4858,3164,1693,2,248,2,248,2,248,
0.27,5397,3570,1826,2,248,2,248,2,248,
0.28,4718,2861,1856,2,248,2,248,2,248,
0.29,4801,3071,1728,2,248,2,248,2,248,
0.30,5801,3073,2725,2,248,2,248,2,248,
0.31,4648,2692,1956,2,248,2,248,2,248,
0.32,5237,2067,3167,2,248,2,248,2,248,
0.33,4881,1713,3166,2,248,2,248,2,248,
0.34,5294,1684,3607,2,248,2,248,2,248,
0.35,5175,1577,3594,2,248,2,248,2,248,
0.36,5632,1595,4033,2,248,2,248,2,248,
0.37,7246,2374,4783,23,227,23,227,23,227,
0.38,7924,2361,5467,26,224,26,224,26,224,
0.39,7818,1900,5820,22,228,26,224,22,228,
0.40,7756,1711,5945,24,226,24,226,24,226,
0.41,5771,834,4933,2,248,2,248,2,248,
0.42,11989,2353,9440,63,187,63,187,63,187,
0.43,11918,1815,9984,59,191,63,187,58,192,
0.44,11997,1660,10224,60,190,64,186,60,190,
0.45,12147,1717,10309,64,186,63,187,64,186,
0.46,12067,1257,10670,61,189,64,186,60,190,
0.47,12094,1417,10538,63,187,62,188,63,187,
0.48,12223,1266,10828,64,186,64,186,64,186,
0.49,11994,1291,10599,60,190,62,188,61,189,
0.50,12200,1101,10946,64,186,63,187,64,186,
0.51,12150,1118,10879,64,186,63,187,64,186,
0.52,12056,948,10966,61,189,63,187,61,189,
0.53,12273,825,11265,64,186,63,187,63,187,
0.54,12371,251,11986,63,187,63,187,64,186,
0.55,12510,316,12042,64,186,64,186,64,186,
0.56,12423,208,12070,64,186,63,187,64,186,
0.57,12467,86,12214,64,186,63,187,64,186,
0.58,12517,93,12264,64,186,63,187,64,186,
0.59,12675,52,12448,64,186,64,186,64,186,
0.60,12584,50,12354,64,186,64,186,64,186,
