 , , , Trace File 
, History Time Limit ,1
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.00,8827,6941,1805,26,224,26,224,26,224,
0.01,8827,6941,1805,26,224,26,224,26,224,
0.02,8827,6941,1805,26,224,26,224,26,224,
0.03,8827,6941,1805,26,224,26,224,26,224,
0.04,8827,6941,1805,26,224,26,224,26,224,
0.05,8827,6941,1805,26,224,26,224,26,224,
0.06,8827,6941,1805,26,224,26,224,26,224,
0.07,8827,6941,1805,26,224,26,224,26,224,
0.08,8827,6941,1805,26,224,26,224,26,224,
0.09,9314,7424,1809,26,224,26,224,26,224,
0.10,9314,7424,1809,26,224,26,224,26,224,
0.11,9314,7424,1809,26,224,26,224,26,224,
0.12,9314,7424,1809,26,224,26,224,26,224,
0.13,9314,7424,1809,26,224,26,224,26,224,
0.14,9314,7424,1809,26,224,26,224,26,224,
0.15,9314,7424,1809,26,224,26,224,26,224,
0.16,8856,6949,1826,26,224,26,224,26,224,
0.17,9168,7281,1810,24,226,24,226,24,226,
0.18,9168,7281,1810,24,226,24,226,24,226,
0.19,9168,7281,1810,24,226,24,226,24,226,
0.20,9140,7259,1815,24,226,24,226,24,226,
0.21,6283,4469,1816,2,248,2,248,2,248,
0.22,6283,4469,1816,2,248,2,248,2,248,
0.23,6050,4184,1865,2,248,2,248,2,248,
0.24,7108,5260,1850,2,248,2,248,2,248,
0.25,7108,5260,1850,2,248,2,248,2,248,
0.26,5573,3574,1997,2,248,2,248,2,248,
0.27,6105,3967,2136,2,248,2,248,2,248,
0.28,5407,3241,2164,2,248,2,248,2,248,
0.29,5741,3674,2066,2,248,2,248,2,248,
0.30,6869,3704,3165,2,248,2,248,2,248,
0.31,5599,3205,2390,2,248,2,248,2,248,
0.32,6239,2516,3719,2,248,2,248,2,248,
0.33,5885,2190,3691,2,248,2,248,2,248,
0.34,6238,2148,4090,2,248,2,248,2,248,
0.35,6124,1916,4204,2,248,2,248,2,248,
0.36,6622,1862,4760,2,248,2,248,2,248,
0.37,8136,2578,5469,23,227,23,227,23,227,
0.38,8854,2451,6307,26,224,26,224,26,224,
0.39,8722,2016,6608,22,228,26,224,22,228,
0.40,8609,1845,6664,24,226,24,226,24,226,
0.41,6849,949,5897,2,248,2,248,2,248,
0.42,12295,2353,9746,63,187,63,187,63,187,
0.43,12218,1815,10284,59,191,63,187,58,192,
0.44,12303,1660,10530,60,190,64,186,60,190,
0.45,12447,1717,10609,64,186,63,187,64,186,
0.46,12367,1257,10970,61,189,64,186,60,190,
0.47,12394,1417,10838,63,187,62,188,63,187,
0.48,12523,1266,11128,64,186,64,186,64,186,
0.49,12294,1291,10899,60,190,62,188,61,189,
0.50,12500,1101,11246,64,186,63,187,64,186,
0.51,12450,1118,11179,64,186,63,187,64,186,
0.52,12367,948,11277,61,189,63,187,61,189,
0.53,12573,825,11565,64,186,63,187,63,187,
0.54,12671,251,12286,63,187,63,187,64,186,
0.55,12816,316,12348,64,186,64,186,64,186,
0.56,12723,208,12370,64,186,63,187,64,186,
0.57,12767,86,12514,64,186,63,187,64,186,
0.58,12817,93,12564,64,186,63,187,64,186,
0.59,12975,52,12748,64,186,64,186,64,186,
0.60,12884,50,12654,64,186,64,186,64,186,
