 , , , Trace File ,,,,,,,,,,,,,,,,,
, History Time Limit ,1,,,,,,,,,,,,,,,,,,
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,Ratio,,,,,,,,,,,,,
0,12974,11921,763,84,84,84,0.019423462,,,,Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,Ratio,,
0.01,12974,11921,763,84,84,84,0.019423462,,,,0,12974,11921,763,84,84,84,0.019423462,,
0.02,12974,11921,763,84,84,84,0.019423462,,,,0.1,12974,11921,763,84,84,84,0.019423462,,
0.03,12974,11921,763,84,84,84,0.019423462,,,,0.2,12974,11921,763,84,84,84,0.019423462,,
0.04,12974,11921,763,84,84,84,0.019423462,,,,0.3,25507,15939,9069,164,164,164,0.019288823,,
0.05,12974,11921,763,84,84,84,0.019423462,,,,0.4,31870,5419,25902,250,234,250,0.023031064,,
0.06,12974,11921,763,84,84,84,0.019423462,,,,0.5,32682,1621,30617,250,250,250,0.022948412,,
0.07,12974,11921,763,84,84,84,0.019423462,,,,0.6,33908,38,33119,250,249,250,0.022089182,,
0.08,12974,11921,763,84,84,84,0.019423462,,,,,,,,,,,,,
0.09,12974,11921,763,84,84,84,0.019423462,,,,,,,,,,,,,
0.1,12974,11921,763,84,84,84,0.019423462,,,,,,,,,,,,,
0.11,12974,11921,763,84,84,84,0.019423462,,,,,,Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,Ratio
0.12,12974,11921,763,84,84,84,0.019423462,,,,,,0.3,25507,15939,9069,164,164,164,0.019288823
0.13,12974,11921,763,84,84,84,0.019423462,,,,,,0.31,24987,14845,9592,161,159,161,0.01925001
0.14,12974,11921,763,84,84,84,0.019423462,,,,,,0.32,24973,13882,10647,161,161,161,0.019340888
0.15,12974,11921,763,84,84,84,0.019423462,,,,,,0.33,25837,14349,11000,169,169,169,0.019623021
0.16,12974,11921,763,84,84,84,0.019423462,,,,,,0.34,26171,13627,12107,149,170,149,0.017882389
0.17,12974,11921,763,84,84,84,0.019423462,,,,,,0.35,30616,13893,15922,222,222,222,0.021753332
0.18,12974,11921,763,84,84,84,0.019423462,,,,,,0.36,31987,14017,17239,233,240,233,0.022071467
0.19,12974,11921,763,84,84,84,0.019423462,,,,,,0.37,32392,12204,19464,250,238,250,0.022783403
0.2,12974,11921,763,84,84,84,0.019423462,,,,,,0.38,31885,8397,22788,250,222,250,0.022643876
0.21,3660,2841,777,16,16,16,0.013114754,,,,,,0.39,32274,6705,24852,250,238,250,0.022866704
0.22,3660,2841,777,16,16,16,0.013114754,,,,,,0.4,31870,5419,25902,250,234,250,0.023031064
0.23,2782,1971,777,9,9,9,0.009705248,,,,,,,,,,,,,
0.24,2539,1740,777,7,7,7,0.008270973,,,,,,,,,,,,,
0.25,9231,7958,1056,54,52,54,0.0173329,,,,,,,,,,,,,
0.26,2292,1501,777,5,5,5,0.006544503,,,,,,,,,,,,,
0.27,6153,4783,1304,20,20,19,0.009588818,,,,,,,,,,,,,
0.28,6972,5074,1762,38,13,38,0.012765347,,,,,,,,,,,,,
0.29,2477,1652,805,6,6,6,0.007266855,,,,,,,,,,,,,
0.3,25507,15939,9069,164,164,164,0.019288823,,,,,,,,,,,,,
0.31,24987,14845,9592,161,159,161,0.01925001,,,,,,,,,,,,,
0.32,24973,13882,10647,161,161,161,0.019340888,,,,,,,,,,,,,
0.33,25837,14349,11000,169,169,169,0.019623021,,,,,,,,,,,,,
0.34,26171,13627,12107,149,170,149,0.017882389,,,,,,,,,,,,,
0.35,30616,13893,15922,222,222,222,0.021753332,,,,,,,,,,,,,
0.36,31987,14017,17239,233,240,233,0.022071467,,,,,,,,,,,,,
0.37,32392,12204,19464,250,238,250,0.022783403,,,,,,,,,,,,,
0.38,31885,8397,22788,250,222,250,0.022643876,,,,,,,,,,,,,
0.39,32274,6705,24852,250,238,250,0.022866704,,,,,,,,,,,,,
0.4,31870,5419,25902,250,234,250,0.023031064,,,,,,,,,,,,,
0.41,32088,4644,26867,248,235,249,0.022812266,,,,,,,,,,,,,
0.42,32248,4082,27604,250,237,250,0.02285413,,,,,,,,,,,,,
0.43,32246,3396,28352,250,233,250,0.022731502,,,,,,,,,,,,,
0.44,31926,3110,28340,250,233,250,0.022959343,,,,,,,,,,,,,
0.45,32177,2922,28810,250,238,250,0.022935637,,,,,,,,,,,,,
0.46,32196,2616,29146,250,240,250,0.022984222,,,,,,,,,,,,,
0.47,32127,2347,29361,249,242,249,0.023033585,,,,,,,,,,,,,
0.48,32134,2463,29271,249,236,249,0.02284185,,,,,,,,,,,,,
0.49,32223,2142,29620,249,240,249,0.022902895,,,,,,,,,,,,,
0.5,32682,1621,30617,250,250,250,0.022948412,,,,,,,,,,,,,
0.51,32685,1701,30552,250,250,250,0.022946306,,,,,,,,,,,,,
0.52,32986,1533,30939,250,250,250,0.022736919,,,,,,,,,,,,,
0.53,33121,1230,31307,250,250,250,0.022644244,,,,,,,,,,,,,
0.54,33332,693,31995,250,250,250,0.0225009,,,,,,,,,,,,,
0.55,33470,497,32278,250,250,250,0.022408127,,,,,,,,,,,,,
0.56,33596,466,32423,250,250,250,0.022324086,,,,,,,,,,,,,
0.57,33816,326,32753,250,250,250,0.02217885,,,,,,,,,,,,,
0.58,33767,173,32842,250,249,250,0.02218142,,,,,,,,,,,,,
0.59,34029,69,33229,250,250,250,0.022040025,,,,,,,,,,,,,
0.6,33908,38,33119,250,249,250,0.022089182,,,,,,,,,,,,,
,,,,,,,0.023033585,,,,,,,,,,,,,
