 , , , Trace File ,,,,
, History Time Limit ,1,,,,,
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,Ratio
0,1989,1264,723,1,1,1,0.001508296
0.01,1989,1264,723,1,1,1,0.001508296
0.02,1989,1264,723,1,1,1,0.001508296
0.03,1989,1264,723,1,1,1,0.001508296
0.04,1989,1264,723,1,1,1,0.001508296
0.05,1989,1264,723,1,1,1,0.001508296
0.06,1989,1264,723,1,1,1,0.001508296
0.07,1989,1264,723,1,1,1,0.001508296
0.08,1989,1264,723,1,1,1,0.001508296
0.09,1989,1264,723,1,1,1,0.001508296
0.1,1989,1264,723,1,1,1,0.001508296
0.11,1989,1264,723,1,1,1,0.001508296
0.12,1989,1264,723,1,1,1,0.001508296
0.13,1989,1264,723,1,1,1,0.001508296
0.14,1989,1264,723,1,1,1,0.001508296
0.15,1989,1264,723,1,1,1,0.001508296
0.16,1989,1264,723,1,1,1,0.001508296
0.17,1989,1264,723,1,1,1,0.001508296
0.18,1989,1264,723,1,1,1,0.001508296
0.19,1989,1264,723,1,1,1,0.001508296
0.2,1989,1264,723,1,1,1,0.001508296
0.21,1989,1264,723,1,1,1,0.001508296
0.22,1989,1264,723,1,1,1,0.001508296
0.23,1989,1264,723,1,1,1,0.001508296
0.24,1989,1264,723,1,1,1,0.001508296
0.25,1989,1264,723,1,1,1,0.001508296
0.26,1989,1264,723,1,1,1,0.001508296
0.27,1989,1264,723,1,1,1,0.001508296
0.28,1989,1264,723,1,1,1,0.001508296
0.29,1989,1264,723,1,1,1,0.001508296
0.3,2230,1284,938,2,2,2,0.002690583
0.31,2298,1322,968,2,2,2,0.002610966
0.32,2298,1322,968,2,2,2,0.002610966
0.33,2298,1322,968,2,2,2,0.002610966
0.34,16200,7306,8674,65,65,65,0.012037037
0.35,17405,7536,9609,73,73,73,0.012582591
0.36,17389,7240,9900,73,73,73,0.012594169
0.37,50357,16642,32995,250,246,250,0.014814226
0.38,50097,13314,36116,250,248,250,0.014931034
0.39,17470,4853,12396,79,74,79,0.013279908
0.4,49897,8049,41288,250,243,250,0.014890675
0.41,50193,6415,43136,250,247,250,0.014882553
0.42,50313,5180,44562,250,250,250,0.014906684
0.43,50242,5371,44371,250,250,250,0.01492775
0.44,50285,4336,45428,250,250,250,0.014914985
0.45,50340,4090,45702,250,250,250,0.014898689
0.46,50311,3507,46322,250,250,250,0.014907277
0.47,50325,2918,46946,250,250,250,0.01490313
0.48,50178,2854,46877,250,250,250,0.014946789
0.49,50270,2712,47139,250,250,250,0.014919435
0.5,50444,2418,47612,250,250,250,0.014867972
0.51,50509,2598,47457,250,250,250,0.014848839
0.52,50604,2332,47803,249,250,250,0.014801201
0.53,50647,2017,48118,250,250,250,0.01480838
0.54,51091,1028,49478,250,250,250,0.014679689
0.55,51209,689,49923,250,250,250,0.014645863
0.56,51365,637,50068,250,250,250,0.014601382
0.57,51580,442,50414,250,250,250,0.01454052
0.58,51537,436,50387,250,250,250,0.014552651
0.59,51683,113,50845,250,250,250,0.014511542
0.6,51870,37,51093,250,250,250,0.014459225
,,,,,,,0.014946789
