 , , , Trace File 
, History Time Limit ,1
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,24715,19469,763,196,54,196,54,196,54,
0.1,24715,19469,763,196,54,196,54,196,54,
0.2,75177,11106,1347,168,82,168,82,168,82,
0.3,31460,2662,23593,244,6,244,6,244,6,
0.4,31662,648,27110,246,4,246,4,246,4,
0.5,31456,188,27470,243,7,243,7,243,7,
0.6,31735,100,27706,245,5,245,5,245,5,
0.7,31698,18,27593,243,7,243,7,243,7,
0.8,31814,,27705,244,6,244,6,244,6,
0.9,31814,,27705,244,6,244,6,244,6,
1.0,31814,,27705,244,6,244,6,244,6,
, History Time Limit ,2
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,23386,18676,667,171,79,171,79,171,79,
0.1,23386,18676,667,171,79,171,79,171,79,
0.2,23693,10349,2023,157,93,157,93,157,93,
0.3,30515,3038,22405,238,12,238,12,238,12,
0.4,30925,555,26491,241,9,241,9,241,9,
0.5,31109,206,27315,241,9,241,9,241,9,
0.6,31118,82,27324,238,12,238,12,238,12,
0.7,31611,15,27586,242,8,242,8,242,8,
0.8,31814,,27705,244,6,244,6,244,6,
0.9,31814,,27705,244,6,244,6,244,6,
1.0,31814,,27705,244,6,244,6,244,6,
, History Time Limit ,3
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,25956,16264,648,180,70,180,70,180,70,
0.1,25956,16264,648,180,70,180,70,180,70,
0.2,26541,14116,5833,198,52,198,52,198,52,
0.3,30375,2940,22509,237,13,237,13,237,13,
0.4,30480,596,26281,239,11,239,11,239,11,
0.5,31596,246,27414,244,6,244,6,244,6,
0.6,31384,72,27528,241,9,241,9,241,9,
0.7,31829,10,27684,242,8,242,8,242,8,
0.8,31814,,27705,244,6,244,6,244,6,
0.9,31814,,27705,244,6,244,6,244,6,
1.0,31814,,27705,244,6,244,6,244,6,
, History Time Limit ,4
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,25956,16264,648,180,70,180,70,180,70,
0.1,25956,16264,648,180,70,180,70,180,70,
0.2,23357,13927,3756,185,65,185,65,185,65,
0.3,30765,3084,22583,240,10,240,10,240,10,
0.4,31068,582,26634,241,9,241,9,241,9,
0.5,31598,283,27591,246,4,246,4,246,4,
0.6,31881,98,27806,245,5,245,5,245,5,
0.7,31829,10,27684,242,8,242,8,242,8,
0.8,31814,,27705,244,6,244,6,244,6,
0.9,31814,,27705,244,6,244,6,244,6,
1.0,31814,,27705,244,6,244,6,244,6,
, History Time Limit ,5
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,25956,16264,648,180,70,180,70,180,70,
0.1,25956,16264,648,180,70,180,70,180,70,
0.2,25049,14191,3169,191,59,191,59,191,59,
0.3,31392,3299,22591,243,7,243,7,243,7,
0.4,31838,547,27161,245,5,244,6,245,5,
0.5,31417,244,27342,242,8,242,8,242,8,
0.6,31291,84,27344,241,9,241,9,241,9,
0.7,31829,10,27684,242,8,242,8,242,8,
0.8,31814,,27705,244,6,244,6,244,6,
0.9,31814,,27705,244,6,244,6,244,6,
1.0,31814,,27705,244,6,244,6,244,6,
, History Time Limit ,6
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,25956,16264,648,180,70,180,70,180,70,
0.1,25956,16264,648,180,70,180,70,180,70,
0.2,21309,9350,3457,138,112,138,112,138,112,
0.3,31200,3123,22360,239,11,239,11,239,11,
0.4,30989,806,26368,243,7,243,7,243,7,
0.5,31302,318,27325,244,6,244,6,244,6,
0.6,31513,103,27496,244,6,244,6,244,6,
