 , , , Trace File 
, History Time Limit ,1
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,26352,14729,836,187,63,187,63,187,63,
0.1,26352,14729,836,187,63,187,63,187,63,
0.2,26337,10947,1807,143,107,143,107,143,107,
0.3,32584,2402,24296,237,13,237,13,237,13,
0.4,32846,505,27976,241,9,241,9,241,9,
0.5,32975,129,28595,241,9,241,9,241,9,
0.6,33360,57,28771,242,8,242,8,242,8,
0.7,33659,22,29114,246,4,246,4,246,4,
0.8,33684,2,29061,245,5,245,5,245,5,
0.9,33113,,28570,240,10,240,10,240,10,
1.0,33113,,28570,240,10,240,10,240,10,
, History Time Limit ,2
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,23607,13036,632,187,63,187,63,187,63,
0.1,23607,13036,632,187,63,187,63,187,63,
0.2,26666,12795,4089,171,79,171,79,171,79,
0.3,32809,3095,23278,239,11,239,11,239,11,
0.4,33173,358,28363,244,6,243,7,243,7,
0.5,33403,226,28705,241,9,241,9,241,9,
0.6,33120,70,28498,239,11,239,11,239,11,
0.7,33162,20,28785,241,9,241,9,241,9,
0.8,33687,4,29084,244,6,244,6,244,6,
0.9,33113,,28570,240,10,240,10,240,10,
1.0,33113,,28570,240,10,240,10,240,10,
, History Time Limit ,3
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,23607,13036,632,187,63,187,63,187,63,
0.1,23607,13036,632,187,63,187,63,187,63,
0.2,26929,12417,1568,165,85,165,85,165,85,
0.3,33149,3108,24035,243,7,243,7,243,7,
0.4,32910,479,27818,240,10,240,10,240,10,
0.5,33616,138,29028,245,5,245,5,245,5,
0.6,33666,46,29206,244,6,244,6,244,6,
0.7,32833,32,28559,239,11,239,11,239,11,
0.8,33687,4,29084,244,6,244,6,244,6,
0.9,33113,,28570,240,10,240,10,240,10,
1.0,33113,,28570,240,10,240,10,240,10,
, History Time Limit ,4
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,23607,13036,632,187,63,187,63,187,63,
0.1,23607,13036,632,187,63,187,63,187,63,
0.2,21755,12140,975,142,108,142,108,142,108,
0.3,32879,3081,23753,242,8,242,8,242,8,
0.4,33156,546,27944,240,10,240,10,240,10,
0.5,32636,155,28460,239,11,239,11,239,11,
0.6,32517,65,28232,236,14,236,14,236,14,
0.7,33426,43,28937,244,6,244,6,244,6,
0.8,33687,4,29084,244,6,244,6,244,6,
0.9,33113,,28570,240,10,240,10,240,10,
1.0,33113,,28570,240,10,240,10,240,10,
, History Time Limit ,5
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,23607,13036,632,187,63,187,63,187,63,
0.1,23607,13036,632,187,63,187,63,187,63,
0.2,21755,12140,975,142,108,142,108,142,108,
0.3,33097,2787,23980,241,9,241,9,241,9,
0.4,32349,463,27584,238,12,238,12,238,12,
0.5,32923,178,28528,244,6,244,6,244,6,
0.6,32517,65,28232,236,14,236,14,236,14,
0.7,32780,32,28307,236,14,236,14,236,14,
0.8,33687,4,29084,244,6,244,6,244,6,
0.9,33113,,28570,240,10,240,10,240,10,
1.0,33113,,28570,240,10,240,10,240,10,
