 , , , Trace File 
, History Time Limit ,1
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,42934,19254,664,221,29,221,29,221,29,
0.1,76696,14118,1631,218,32,218,32,218,32,
0.2,67299,12128,4548,215,35,217,33,218,32,
0.3,33640,3904,23697,240,10,240,10,240,10,
0.4,34277,834,27881,246,4,246,4,246,4,
0.5,34010,72,28725,244,6,244,6,244,6,
0.6,34157,7,28544,241,9,241,9,241,9,
0.7,33862,,28668,243,7,243,7,243,7,
0.8,33895,,28697,243,7,243,7,243,7,
0.9,33895,,28697,243,7,243,7,243,7,
1.0,33895,,28697,243,7,243,7,243,7,
, History Time Limit ,2
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,80559,11012,613,183,67,183,67,183,67,
0.1,62907,18891,1313,234,16,235,15,235,15,
0.2,33766,10864,2915,183,67,183,67,183,67,
0.3,33489,3726,23841,242,8,242,8,242,8,
0.4,33122,694,26997,238,12,238,12,238,12,
0.5,33851,91,28714,244,6,244,6,244,6,
0.6,34353,9,29073,246,4,246,4,246,4,
0.7,33862,,28668,243,7,243,7,243,7,
0.8,33895,,28697,243,7,243,7,243,7,
0.9,33895,,28697,243,7,243,7,243,7,
1.0,33895,,28697,243,7,243,7,243,7,
, History Time Limit ,3
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,80559,11012,613,183,67,183,67,183,67,
0.1,62818,19005,1169,232,18,233,17,233,17,
0.2,65374,10074,3265,179,71,180,70,180,70,
0.3,33477,3413,24269,244,6,244,6,244,6,
0.4,34128,847,27926,245,5,245,5,245,5,
0.5,33674,147,27994,239,11,239,11,239,11,
0.6,33611,14,28747,242,8,242,8,242,8,
0.7,33862,,28668,243,7,243,7,243,7,
0.8,33895,,28697,243,7,243,7,243,7,
0.9,33895,,28697,243,7,243,7,243,7,
1.0,33895,,28697,243,7,243,7,243,7,
, History Time Limit ,4
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,80852,11257,604,188,62,191,59,191,59,
0.1,45580,17836,828,230,20,230,20,230,20,
0.2,247,12142,6402,211,39,214,36,215,35,
0.3,33992,3470,24044,242,8,242,8,242,8,
0.4,33110,798,26916,240,10,240,10,240,10,
0.5,34086,103,28300,241,9,241,9,241,9,
0.6,33611,14,28747,242,8,242,8,242,8,
0.7,33862,,28668,243,7,243,7,243,7,
0.8,33895,,28697,243,7,243,7,243,7,
0.9,33895,,28697,243,7,243,7,243,7,
1.0,33895,,28697,243,7,243,7,243,7,
, History Time Limit ,5
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,80852,11257,604,188,62,191,59,191,59,
0.1,79468,12775,1422,206,44,206,44,206,44,
0.2,119883,6793,4199,178,72,178,72,178,72,
0.3,32943,3545,23521,240,10,240,10,240,10,
0.4,33626,830,26983,240,10,240,10,240,10,
0.5,34059,115,28239,242,8,242,8,242,8,
0.6,33611,14,28747,242,8,242,8,242,8,
0.7,33862,,28668,243,7,243,7,243,7,
0.8,33895,,28697,243,7,243,7,243,7,
0.9,33895,,28697,243,7,243,7,243,7,
1.0,33895,,28697,243,7,243,7,243,7,
, History Time Limit ,6
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,80852,11257,604,188,62,191,59,191,59,
0.1,79468,12775,1422,206,44,206,44,206,44,
0.2,117936,7490,4899,170,80,172,78,172,78,
0.3,34115,3734,24118,242,8,242,8,242,8,
0.4,33563,813,27231,242,8,242,8,242,8,
0.5,33407,101,28277,241,9,241,9,241,9,
0.6,33611,14,28747,242,8,242,8,242,8,
0.7,33862,,28668,243,7,243,7,243,7,
0.8,33895,,28697,243,7,243,7,243,7,
0.9,33895,,28697,243,7,243,7,243,7,
1.0,33895,,28697,243,7,243,7,243,7,
, History Time Limit ,7
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,80852,11257,604,188,62,191,59,191,59,
0.1,79468,12775,1422,206,44,206,44,206,44,
0.2,117936,7490,4899,170,80,172,78,172,78,
0.3,33026,3489,24232,243,7,243,7,243,7,
0.4,33741,971,26912,241,9,241,9,241,9,
0.5,33197,99,28057,240,10,240,10,240,10,
0.6,33611,14,28747,242,8,242,8,242,8,
0.7,33862,,28668,243,7,243,7,243,7,
0.8,33895,,28697,243,7,243,7,243,7,
0.9,33895,,28697,243,7,243,7,243,7,
1.0,33895,,28697,243,7,243,7,243,7,
, History Time Limit ,8
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,80852,11257,604,188,62,191,59,191,59,
0.1,79468,12775,1422,206,44,206,44,206,44,
0.2,109648,7003,4040,175,75,175,75,175,75,
0.3,33026,3489,24232,243,7,243,7,243,7,
0.4,34112,920,27348,244,6,244,6,244,6,
0.5,33318,95,28151,241,9,241,9,241,9,
0.6,33611,14,28747,242,8,242,8,242,8,
0.7,33862,,28668,243,7,243,7,243,7,
0.8,33895,,28697,243,7,243,7,243,7,
0.9,33895,,28697,243,7,243,7,243,7,
1.0,33895,,28697,243,7,243,7,243,7,
, History Time Limit ,9
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,80852,11257,604,188,62,191,59,191,59,
0.1,79468,12775,1422,206,44,206,44,206,44,
0.2,249,7101,4248,177,73,179,71,179,71,
0.3,33026,3489,24232,243,7,243,7,243,7,
0.4,34112,920,27348,244,6,244,6,244,6,
0.5,32677,89,27586,236,14,236,14,236,14,
0.6,33611,14,28747,242,8,242,8,242,8,
0.7,33862,,28668,243,7,243,7,243,7,
0.8,33895,,28697,243,7,243,7,243,7,
0.9,33895,,28697,243,7,243,7,243,7,
1.0,33895,,28697,243,7,243,7,243,7,
, History Time Limit ,10
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.0,80852,11257,604,188,62,191,59,191,59,
0.1,79468,12775,1422,206,44,206,44,206,44,
0.2,249,7101,4248,177,73,179,71,179,71,
0.3,33026,3489,24232,243,7,243,7,243,7,
0.4,34112,920,27348,244,6,244,6,244,6,
0.5,32744,115,27695,237,13,237,13,237,13,
0.6,33611,14,28747,242,8,242,8,242,8,
0.7,33862,,28668,243,7,243,7,243,7,
0.8,33895,,28697,243,7,243,7,243,7,
0.9,33895,,28697,243,7,243,7,243,7,
1.0,33895,,28697,243,7,243,7,243,7,
