 , , , Trace File ,,,,
, History Time Limit ,1,,,,,
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,
0,32485,21653,637,243,243,243,0.022441127
0.01,32485,21653,637,243,243,243,0.022441127
0.02,32485,21653,637,243,243,243,0.022441127
0.03,32485,21653,637,243,243,243,0.022441127
0.04,32485,21653,637,243,243,243,0.022441127
0.05,32485,21653,637,243,243,243,0.022441127
0.06,32485,21653,637,243,243,243,0.022441127
0.07,32485,21653,637,243,243,243,0.022441127
0.08,32485,21653,637,243,243,243,0.022441127
0.09,32485,21653,637,243,243,243,0.022441127
0.1,32485,21653,637,243,243,243,0.022441127
0.11,32485,21653,637,243,243,243,0.022441127
0.12,32485,21653,637,243,243,243,0.022441127
0.13,32485,21653,637,243,243,243,0.022441127
0.14,32485,21653,637,243,243,243,0.022441127
0.15,32485,21653,637,243,243,243,0.022441127
0.16,32485,21653,637,243,243,243,0.022441127
0.17,23207,13581,716,163,163,163,0.021071229
0.18,16426,7951,707,89,89,89,0.016254718
0.19,26412,10653,1132,147,147,147,0.016696956
0.2,26298,10324,1127,145,145,145,0.016541182
0.21,22889,10274,4426,144,144,144,0.018873695
0.22,30536,12469,8487,213,213,213,0.02092612
0.23,28132,10943,8422,195,195,195,0.020794824
0.24,25517,9461,7379,173,173,173,0.020339382
0.25,33388,9936,13796,236,236,236,0.021205223
0.26,28137,8017,11040,193,193,193,0.020577887
0.27,31793,4294,23235,241,241,241,0.022740855
0.28,32046,3519,24383,245,245,245,0.02293578
0.29,32665,2955,25198,243,243,243,0.022317465
0.3,32763,2228,25689,242,242,242,0.022159143
0.31,31130,2749,23954,232,232,232,0.022357854
0.32,32882,1777,26479,244,244,244,0.02226142
0.33,31643,1381,26161,237,237,237,0.022469425
0.34,32924,1597,26444,241,241,241,0.021959665
0.35,32466,1428,26702,243,243,243,0.02245426
0.36,32804,1151,26977,240,240,240,0.021948543
0.37,33088,1253,27453,245,245,245,0.022213491
0.38,32639,1120,27428,242,242,242,0.022243329
0.39,32488,1086,26700,238,238,238,0.021977345
0.4,33196,909,27612,241,241,241,0.021779732
0.41,33336,665,28269,248,248,248,0.022318215
0.42,32211,509,27598,240,240,240,0.022352612
0.43,32362,709,27605,240,240,240,0.022248316
0.44,33696,505,28380,246,245,246,0.021872032
0.45,32537,448,27875,242,242,242,0.022313059
0.46,32996,570,27982,243,243,243,0.022093587
0.47,526,526,27937,242,241,242,1.378326996
0.48,32710,468,28027,240,240,241,0.022042189
0.49,32906,598,27796,239,239,239,0.021789339
0.5,33047,314,28413,243,243,243,0.022059491
0.51,32978,290,28457,243,243,243,0.022105646
0.52,32776,262,28328,241,241,241,0.022058824
0.53,33358,221,28965,243,243,243,0.021853828
0.54,32422,188,28001,239,239,239,0.022114614
0.55,32763,142,28713,241,241,241,0.022067576
0.56,32652,135,28567,238,238,238,0.021866961
0.57,31992,136,28052,236,236,236,0.022130533
0.58,32504,173,28340,238,238,238,0.021966527
0.59,32407,84,28173,240,240,240,0.022217422
0.6,33416,87,29207,245,245,245,0.021995451
, History Time Limit ,2,,,,,#VALUE!
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 2 Unique,Destination 3 Unique,#VALUE!
0,32485,21653,637,243,243,243,0.022441127
0.01,32485,21653,637,243,243,243,0.022441127
0.02,32485,21653,637,243,243,243,0.022441127
0.03,32485,21653,637,243,243,243,0.022441127
0.04,32485,21653,637,243,243,243,0.022441127
0.05,32485,21653,637,243,243,243,0.022441127
0.06,32485,21653,637,243,243,243,0.022441127
0.07,32485,21653,637,243,243,243,0.022441127
0.08,32485,21653,637,243,243,243,0.022441127
0.09,32485,21653,637,243,243,243,0.022441127
0.1,32485,21653,637,243,243,243,0.022441127
0.11,32485,21653,637,243,243,243,0.022441127
0.12,32485,21653,637,243,243,243,0.022441127
0.13,32485,21653,637,243,243,243,0.022441127
0.14,32485,21653,637,243,243,243,0.022441127
0.15,32485,21653,637,243,243,243,0.022441127
0.16,32485,21653,637,243,243,243,0.022441127
0.17,30637,15832,632,199,199,199,0.019486242
0.18,18715,10429,717,103,103,103,0.01651082
0.19,25592,10453,1413,143,143,143,0.016763051
0.2,26595,12134,3394,164,164,164,0.018499718
0.21,23096,9874,986,134,134,134,0.017405611
0.22,24780,9635,6692,168,168,168,0.020338983
0.23,22440,9199,5070,140,140,140,0.018716578
0.24,25392,8692,8067,172,172,172,0.020321361
0.25,29391,8628,11719,201,201,201,0.020516485
0.26,33733,6874,17277,240,240,240,0.021344084
0.27,32117,3535,24207,245,245,245,0.022885076
0.28,32416,2490,25728,245,245,245,0.022673988
0.29,32381,2867,24893,240,240,240,0.022235261
0.3,32448,1851,26012,243,243,243,0.022466716
0.31,33377,2357,26239,248,248,248,0.022290799
0.32,32627,1713,26455,244,244,244,0.022435406
0.33,32232,1312,26458,239,239,239,0.022244974
0.34,32361,1610,26158,238,238,238,0.022063595
0.35,32564,1442,26446,241,241,241,0.022202432
0.36,32403,1076,27233,243,243,243,0.022497917
0.37,33536,1048,27503,243,243,243,0.021737834
0.38,32486,1079,27247,243,243,243,0.022440436
0.39,32504,814,27185,241,241,241,0.022243416
0.4,32896,846,27610,242,242,242,0.022069553
0.41,31910,881,27004,237,237,237,0.022281416
0.42,32054,625,27344,238,238,238,0.022274911
0.43,33109,673,28027,242,242,242,0.021927573
0.44,32180,579,27423,238,237,238,0.022156619
0.45,33172,624,28133,244,244,244,0.022066803
0.46,33124,651,28406,245,245,244,0.02215916
0.47,32981,607,27686,241,241,241,0.021921713
0.48,32657,558,27853,241,241,241,0.022139204
0.49,32971,618,28066,243,243,243,0.022110339
0.5,32340,302,27925,239,239,239,0.022170686
0.51,32410,299,28055,239,239,239,0.022122802
0.52,33443,243,28848,245,245,245,0.021977693
0.53,32023,194,27852,235,235,235,0.022015426
0.54,32782,224,28542,244,244,244,0.022329327
0.55,32774,106,28674,240,240,240,0.021968634
0.56,32424,115,28303,239,239,239,0.022113249
0.57,32947,158,28710,242,242,242,0.02203539
