 , , , Trace File 
, History Time Limit ,1
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.00,26352,14729,836,187,63,187,63,187,63,
0.01,26352,14729,836,187,63,187,63,187,63,
0.02,26352,14729,836,187,63,187,63,187,63,
0.03,26352,14729,836,187,63,187,63,187,63,
0.04,26352,14729,836,187,63,187,63,187,63,
0.05,26352,14729,836,187,63,187,63,187,63,
0.06,26352,14729,836,187,63,187,63,187,63,
0.07,26352,14729,836,187,63,187,63,187,63,
0.08,26352,14729,836,187,63,187,63,187,63,
0.09,26352,14729,836,187,63,187,63,187,63,
0.10,26352,14729,836,187,63,187,63,187,63,
0.11,26352,14729,836,187,63,187,63,187,63,
0.12,26352,14729,836,187,63,187,63,187,63,
0.13,26352,14729,836,187,63,187,63,187,63,
0.14,26352,14729,836,187,63,187,63,187,63,
0.15,26352,14729,836,187,63,187,63,187,63,
0.16,26352,14729,836,187,63,187,63,187,63,
0.17,23726,13881,801,163,87,163,87,163,87,
0.18,25169,10320,1024,141,109,141,109,141,109,
0.19,23781,12213,1737,151,99,151,99,151,99,
0.20,26337,10947,1807,143,107,143,107,143,107,
0.21,30241,14285,6055,206,44,206,44,206,44,
0.22,32132,13005,9064,219,31,219,31,219,31,
0.23,34133,11190,13159,241,9,241,9,241,9,
0.24,31840,9615,12810,222,28,222,28,222,28,
0.25,32875,8782,14207,228,22,228,22,228,22,
0.26,33802,6972,17088,239,11,239,11,239,11,
0.27,33195,3176,24994,246,4,246,4,246,4,
0.28,32726,3399,24641,243,7,243,7,243,7,
0.29,31913,2546,24845,241,9,241,9,241,9,
0.30,32584,2402,24296,237,13,237,13,237,13,
, History Time Limit ,2
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.00,23607,13036,632,187,63,187,63,187,63,
0.01,23607,13036,632,187,63,187,63,187,63,
0.02,23607,13036,632,187,63,187,63,187,63,
0.03,23607,13036,632,187,63,187,63,187,63,
0.04,23607,13036,632,187,63,187,63,187,63,
0.05,23607,13036,632,187,63,187,63,187,63,
0.06,23607,13036,632,187,63,187,63,187,63,
0.07,23607,13036,632,187,63,187,63,187,63,
0.08,23607,13036,632,187,63,187,63,187,63,
0.09,23607,13036,632,187,63,187,63,187,63,
0.10,23607,13036,632,187,63,187,63,187,63,
0.11,23607,13036,632,187,63,187,63,187,63,
0.12,23607,13036,632,187,63,187,63,187,63,
0.13,23607,13036,632,187,63,187,63,187,63,
0.14,23607,13036,632,187,63,187,63,187,63,
0.15,23607,13036,632,187,63,187,63,187,63,
0.16,23607,13036,632,187,63,187,63,187,63,
0.17,23607,13036,632,187,63,187,63,187,63,
0.18,25174,13998,1176,162,88,162,88,162,88,
0.19,25371,13647,2182,181,69,181,69,181,69,
0.20,26666,12795,4089,171,79,171,79,171,79,
0.21,29172,14212,5313,212,38,212,38,212,38,
0.22,20783,8731,4107,130,120,130,120,130,120,
0.23,33589,9470,14326,238,12,238,12,238,12,
0.24,32924,8561,14781,236,14,236,14,236,14,
0.25,32938,7625,15748,233,17,233,17,233,17,
0.26,33277,6604,17114,237,13,237,13,237,13,
0.27,32381,2540,25311,240,10,240,10,240,10,
0.28,32810,2428,25634,242,8,242,8,242,8,
0.29,32819,1767,26398,242,8,242,8,242,8,
0.30,32809,3095,23278,239,11,239,11,239,11,
, History Time Limit ,3
Threshold,Packets in network,Coded Packets,Non-Coded Packets,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss,Destination 3 Unique,Destination 3 Loss
0.00,23607,13036,632,187,63,187,63,187,63,
0.01,23607,13036,632,187,63,187,63,187,63,
0.02,23607,13036,632,187,63,187,63,187,63,
0.03,23607,13036,632,187,63,187,63,187,63,
0.04,23607,13036,632,187,63,187,63,187,63,
0.05,23607,13036,632,187,63,187,63,187,63,
0.06,23607,13036,632,187,63,187,63,187,63,
0.07,23607,13036,632,187,63,187,63,187,63,
0.08,23607,13036,632,187,63,187,63,187,63,
0.09,23607,13036,632,187,63,187,63,187,63,
0.10,23607,13036,632,187,63,187,63,187,63,
0.11,23607,13036,632,187,63,187,63,187,63,
0.12,23607,13036,632,187,63,187,63,187,63,
0.13,23607,13036,632,187,63,187,63,187,63,
0.14,23607,13036,632,187,63,187,63,187,63,
