 , , ,Welcome To My Trace File 
, History Time Limit ,0
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss
0.0,,0,0,0,0,
0.1,,0,0,0,0,
0.2,,0,0,0,0,
0.3,,0,0,0,0,
0.4,,0,0,0,0,
0.5,,0,0,0,0,
0.6,,0,0,0,0,
0.7,,0,0,0,0,
0.8,,0,0,0,0,
0.9,,0,0,0,0,
1.0,,0,0,0,0,
, History Time Limit ,1
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss
0.0,18983,239,11,219,31,
0.1,18983,239,11,219,31,
0.2,15874,227,23,201,49,
0.3,12846,156,94,114,136,
0.4,20936,240,10,237,13,
0.5,20921,238,12,232,18,
0.6,21659,247,3,244,6,
0.7,20988,240,10,237,13,
0.8,20988,240,10,237,13,
0.9,20988,240,10,237,13,
1.0,20988,240,10,237,13,
, History Time Limit ,2
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss
0.0,18983,239,11,219,31,
0.1,18983,239,11,219,31,
0.2,15874,227,23,201,49,
0.3,19834,164,86,136,114,
0.4,21321,245,5,241,9,
0.5,21276,244,6,239,11,
0.6,21659,247,3,244,6,
0.7,20988,240,10,237,13,
0.8,20988,240,10,237,13,
0.9,20988,240,10,237,13,
1.0,20988,240,10,237,13,
, History Time Limit ,3
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss
0.0,18983,239,11,219,31,
0.1,18983,239,11,219,31,
0.2,15874,227,23,201,49,
0.3,19812,164,86,136,114,
0.4,20769,238,12,236,14,
0.5,21276,244,6,239,11,
0.6,21659,247,3,244,6,
0.7,20988,240,10,237,13,
0.8,20988,240,10,237,13,
0.9,20988,240,10,237,13,
1.0,20988,240,10,237,13,
, History Time Limit ,4
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss
0.0,18983,239,11,219,31,
0.1,18983,239,11,219,31,
0.2,15874,227,23,201,49,
0.3,19911,165,85,137,113,
0.4,21069,240,10,237,13,
0.5,21276,244,6,239,11,
0.6,21659,247,3,244,6,
0.7,20988,240,10,237,13,
0.8,20988,240,10,237,13,
0.9,20988,240,10,237,13,
1.0,20988,240,10,237,13,
, History Time Limit ,5
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss
0.0,18983,239,11,219,31,
0.1,18983,239,11,219,31,
0.2,15874,227,23,201,49,
0.3,19921,165,85,137,113,
0.4,21069,240,10,237,13,
0.5,21276,244,6,239,11,
0.6,21659,247,3,244,6,
0.7,20988,240,10,237,13,
0.8,20988,240,10,237,13,
0.9,20988,240,10,237,13,
1.0,20988,240,10,237,13,
, History Time Limit ,6
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss
0.0,18983,239,11,219,31,
0.1,18983,239,11,219,31,
0.2,15874,227,23,201,49,
0.3,19812,165,85,136,114,
0.4,21069,240,10,237,13,
0.5,21276,244,6,239,11,
0.6,21659,247,3,244,6,
0.7,20988,240,10,237,13,
0.8,20988,240,10,237,13,
0.9,20988,240,10,237,13,
1.0,20988,240,10,237,13,
, History Time Limit ,7
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss
0.0,18983,239,11,219,31,
0.1,18983,239,11,219,31,
0.2,15874,227,23,201,49,
0.3,19761,165,85,137,113,
0.4,21069,240,10,237,13,
0.5,21276,244,6,239,11,
0.6,21659,247,3,244,6,
0.7,20988,240,10,237,13,
0.8,20988,240,10,237,13,
0.9,20988,240,10,237,13,
1.0,20988,240,10,237,13,
, History Time Limit ,8
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss
0.0,18983,239,11,219,31,
0.1,18983,239,11,219,31,
0.2,15874,227,23,201,49,
0.3,18238,224,26,208,42,
0.4,21069,240,10,237,13,
0.5,21276,244,6,239,11,
0.6,21659,247,3,244,6,
0.7,20988,240,10,237,13,
0.8,20988,240,10,237,13,
0.9,20988,240,10,237,13,
1.0,20988,240,10,237,13,
, History Time Limit ,9
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss
0.0,18983,239,11,219,31,
0.1,18983,239,11,219,31,
0.2,15874,227,23,201,49,
0.3,18366,226,24,208,42,
0.4,21069,240,10,237,13,
0.5,21276,244,6,239,11,
0.6,21659,247,3,244,6,
0.7,20988,240,10,237,13,
0.8,20988,240,10,237,13,
0.9,20988,240,10,237,13,
1.0,20988,240,10,237,13,
, History Time Limit ,10
Threshold,Packets in network,Destination 1 Unique,Destination 1 Loss,Destination 2 Unique,Destination 2 Loss
0.0,18983,239,11,219,31,
0.1,18983,239,11,219,31,
0.2,15874,227,23,201,49,
0.3,18366,226,24,208,42,
0.4,21069,240,10,237,13,
0.5,21276,244,6,239,11,
0.6,21659,247,3,244,6,
0.7,20988,240,10,237,13,
0.8,20988,240,10,237,13,
0.9,20988,240,10,237,13,
1.0,20988,240,10,237,13,
